"ID","ID (Staffing Plan Detail)","Designation (Staffing Plan Detail)","Estimated Cost Per Position (Staffing Plan Detail)","Vacancies (Staffing Plan Detail)","Total Estimated Cost (Staffing Plan Detail)","Current Openings (Staffing Plan Detail)","Current Count (Staffing Plan Detail)","Number Of Positions (Staffing Plan Detail)"
"plan3966","5f3d123516","Engineer",141583.0,0,0.0,0,0,0
"plan3964","622287c862","Accountant",127495.0,0,0.0,0,0,0
"plan3963","9240e6b452","HR Manager",102832.0,0,0.0,0,0,0
"plan3961","681675f465","Analyst",106549.0,0,0.0,0,0,0
"plan3959","fbd4332fe7","Secretary",120085.0,0,0.0,0,0,0
"plan3957","74357abbd5","Head of Marketing and Sales",112090.0,0,0.0,0,0,0
"plan3955","4c9eff29ac","Associate",125493.0,0,0.0,0,0,0
"plan3947","2390f119b3","Head of Marketing and Sales",87159.0,0,0.0,0,0,0
"plan3946","6756699e63","Administrative Officer",75519.0,0,0.0,0,0,0
"plan3944","7be62818f5","Designer",84689.0,0,0.0,0,0,0
"plan3942","e9ee24964c","Engineer",90028.0,0,0.0,0,0,0
"plan3939","9408b4952e","Accountant",62768.0,0,0.0,0,0,0
"plan3937","f8d8b91655","Accountant",52928.0,0,0.0,0,0,0
"plan3936","518365ae49","Software Developer",73459.0,0,0.0,0,0,0
"plan3935","0384ab96bd","Software Developer",69609.0,10,696090.0,0,0,10
"plan3932","3d2580d9b2","Secretary",83411.0,0,0.0,0,0,0
"plan3931","3ed46c2dde","HR Manager",58239.0,0,0.0,0,0,0
"plan3929","0850559840","Analyst",53956.0,0,0.0,0,0,0
"plan3928","3a4e98e4bf","Secretary",83662.0,0,0.0,0,0,0
"plan3927","94d07df6a6","Head of Marketing and Sales",72055.0,0,0.0,0,0,0
"plan3925","1e44a4b5e6","Researcher",110145.0,0,0.0,0,0,0
"plan3924","fec26deaa9","Software Developer",58154.0,0,0.0,0,0,0
"plan3922","4151555d83","HR Manager",121263.0,4,485052.0,0,0,4
"plan3921","68248604b6","Engineer",93266.0,0,0.0,0,0,0
"plan3920","a95322bf52","HR Manager",136324.0,0,0.0,0,0,0
"plan3919","1511bd5211","Administrative Officer",96514.0,0,0.0,0,0,0
"plan3918","364ee6387f","Researcher",116166.0,6,696996.0,0,0,6
"plan3917","bd9d264c87","Analyst",53101.0,0,0.0,0,0,0
"plan3914","b3d28cd4aa","Secretary",69723.0,0,0.0,0,0,0
"plan3912","9964580cff","Engineer",78114.0,0,0.0,0,0,0
"plan3911","5ae2823b59","HR Manager",148204.0,0,0.0,0,0,0
"plan3909","8e49d575b6","Engineer",112945.0,0,0.0,0,0,0
"plan3906","6982dfa2aa","Business Development Manager",137601.0,0,0.0,0,0,0
"plan3905","4e1822c1a3","Secretary",142948.0,0,0.0,0,0,0
"plan3904","7cf5e0e101","Head of Marketing and Sales",89233.0,0,0.0,0,0,0
"plan3902","925ae5fc50","Engineer",126156.0,0,0.0,0,0,0
"plan3901","030e51250b","Accountant",68203.0,0,0.0,0,0,0
"plan3899","de29a3a460","Accountant",59720.0,0,0.0,0,0,0
"plan3897","f412759bcf","Designer",129675.0,0,0.0,0,0,0
"plan3896","2d96d693bf","Secretary",136966.0,0,0.0,0,0,0
"plan3894","4455a779c0","HR Manager",57110.0,0,0.0,0,0,0
"plan3891","7191b36ce9","Engineer",129225.0,0,0.0,0,0,0
"plan3890","a4043462ea","Accountant",144716.0,0,0.0,0,0,0
"plan3889","8046582198","Administrative Officer",108030.0,0,0.0,0,0,0
"plan3885","9f1463f022","Head of Marketing and Sales",104153.0,0,0.0,0,0,0
"plan3884","1b5322a4ca","Business Development Manager",93989.0,0,0.0,0,0,0
"plan3882","7db6622a10","Engineer",97123.0,0,0.0,0,0,0
"plan3880","de7496906e","Business Development Manager",65548.0,6,393288.0,0,0,6
"plan3879","f675e1b674","Project Manager",104822.0,0,0.0,0,0,0
"plan3878","bbc2d0c493","Head of Marketing and Sales",81465.0,0,0.0,0,0,0
"plan3877","4cf0f6c2af","Associate",82603.0,8,660824.0,0,0,8
"plan3872","1b177b6b6d","Administrative Officer",80633.0,0,0.0,0,0,0
"plan3870","11cbe2bb64","Secretary",116353.0,0,0.0,0,0,0
"plan3868","d4b2502a15","Administrative Officer",102206.0,0,0.0,0,0,0
"plan3867","ebd5f09336","Designer",149958.0,0,0.0,0,0,0
"plan3866","5447e3e120","Head of Marketing and Sales",86632.0,0,0.0,0,0,0
"plan3865","aad3f5fd87","Designer",113663.0,0,0.0,0,0,0
"plan3863","64eeab537c","Engineer",61103.0,8,488824.0,0,0,8
"plan3862","12c9212403","Analyst",59249.0,8,473992.0,0,0,8
"plan3861","487433b7b4","Head of Marketing and Sales",127024.0,0,0.0,0,0,0
"plan3860","a1cfb994b5","Designer",69269.0,7,484883.0,0,0,7
"plan3859","32a720e1fa","Accountant",79906.0,0,0.0,0,0,0
"plan3858","cca1cc94f6","Project Manager",83488.0,8,667904.0,0,0,8
"plan3856","7499c2910a","Administrative Officer",119663.0,0,0.0,0,0,0
"plan3855","60d7c9b175","Administrative Officer",99114.0,0,0.0,0,0,0
"plan3851","45e5eb1f57","Engineer",60548.0,0,0.0,0,0,0
"plan3850","bfe9b20f19","Head of Marketing and Sales",128426.0,0,0.0,0,0,0
"plan3849","7d38a57bc6","Engineer",65721.0,0,0.0,0,0,0
"plan3848","1ba1aeb811","Engineer",61640.0,0,0.0,0,0,0
"plan3847","3d675fc309","Analyst",127914.0,0,0.0,0,0,0
"plan3845","06c75e2b3e","HR Manager",52349.0,0,0.0,0,0,0
"plan3841","b7ba82d74c","Engineer",104972.0,0,0.0,0,0,0
"plan3839","07af5b5b16","Engineer",69746.0,0,0.0,0,0,0
"plan3837","84af40bc87","Head of Marketing and Sales",114609.0,0,0.0,0,0,0
"plan3836","2217aca36e","Analyst",142987.0,0,0.0,0,0,0
"plan3833","3d49162858","Analyst",78337.0,0,0.0,0,0,0
"plan3832","b3a7e55594","Designer",61606.0,6,369636.0,0,0,6
"plan3831","60592bf0ad","Researcher",116633.0,0,0.0,0,0,0
"plan3829","abb9f464b3","HR Manager",125475.0,10,1254750.0,0,0,10
"plan3826","d60b4c8d6e","Researcher",113278.0,3,339834.0,0,0,3
"plan3820","23f0afdac8","Software Developer",94038.0,0,0.0,0,0,0
"plan3818","9b422c5c94","Accountant",145283.0,2,290566.0,0,0,2
"plan3817","bae9f243dc","HR Manager",138373.0,0,0.0,0,0,0
"plan3816","fc33f631bc","Accountant",105691.0,6,634146.0,0,0,6
"plan3815","1f1a5bdcfb","Project Manager",90423.0,10,904230.0,0,0,10
"plan3814","fd37ec28cb","Software Developer",125733.0,0,0.0,0,0,0
"plan3813","9eea4f9570","Analyst",93033.0,0,0.0,0,0,0
"plan3808","5370b41ea0","Project Manager",139041.0,6,834246.0,0,0,6
"plan3807","077e74283f","Software Developer",102222.0,0,0.0,0,0,0
"plan3805","20bfeb08d0","Head of Marketing and Sales",64229.0,0,0.0,0,0,0
"plan3804","b365e654de","HR Manager",98432.0,11,1082752.0,0,0,11
"plan3801","686ba5e587","Designer",120763.0,0,0.0,0,0,0
"plan3799","00cc26640d","Researcher",58258.0,3,174774.0,0,0,3
"plan3798","885263a1d9","Engineer",110024.0,0,0.0,0,0,0
"plan3797","0ffeb58522","HR Manager",105323.0,0,0.0,0,0,0
"plan3795","a5709fe324","Associate",128138.0,0,0.0,0,0,0
"plan3794","a74fb15ae3","HR Manager",130392.0,0,0.0,0,0,0
"plan3793","ce7c2a7440","Business Development Manager",65202.0,0,0.0,0,0,0
"plan3790","d364732915","Associate",84413.0,0,0.0,0,0,0
"plan3789","84ba30ab6b","Project Manager",57569.0,0,0.0,0,0,0
"plan3788","8c52b325d5","Accountant",141841.0,0,0.0,0,0,0
"plan3786","e89625302b","Accountant",78438.0,0,0.0,0,0,0
"plan3785","6591f2f50c","Secretary",76110.0,0,0.0,0,0,0
"plan3783","529b4737b2","Administrative Officer",96693.0,0,0.0,0,0,0
"plan3782","1af9fc7a40","Accountant",119403.0,0,0.0,0,0,0
"plan3781","be5a070a8e","Administrative Officer",94877.0,0,0.0,0,0,0
"plan3779","521be50f94","Software Developer",122252.0,3,366756.0,0,0,3
"plan3778","fba573a066","Administrative Officer",136865.0,0,0.0,0,0,0
"plan3777","bd0949ec6a","Associate",139188.0,0,0.0,0,0,0
"plan3776","515881e278","Designer",108582.0,0,0.0,0,0,0
"plan3775","6a4bf861f9","Software Developer",75250.0,5,376250.0,0,0,5
"plan3770","3bc56efae4","Engineer",104976.0,0,0.0,0,0,0
"plan3768","c95807e92d","HR Manager",73486.0,0,0.0,0,0,0
"plan3767","b5cad701da","Researcher",103817.0,0,0.0,0,0,0
"plan3766","77363fe0b3","Engineer",91714.0,0,0.0,0,0,0
"plan3762","28eae23dda","Administrative Officer",70558.0,0,0.0,0,0,0
"plan3758","0c8055c910","Associate",83328.0,8,666624.0,0,0,8
"plan3752","105db1a2ff","HR Manager",80147.0,4,320588.0,0,0,4
"plan3750","a92dde30dc","Engineer",96274.0,0,0.0,0,0,0
"plan3747","0670c966be","Administrative Officer",91885.0,9,826965.0,0,0,9
"plan3744","e7464a2af9","Business Development Manager",97859.0,0,0.0,0,0,0
"plan3743","e2d6c6a27f","Accountant",67146.0,0,0.0,0,0,0
"plan3740","82b943b3c1","Software Developer",123208.0,0,0.0,0,0,0
"plan3739","be9e9ebc72","Secretary",53163.0,0,0.0,0,0,0
"plan3738","aacaa9b080","Engineer",72109.0,0,0.0,0,0,0
"plan3737","65cf9430cd","HR Manager",76217.0,9,685953.0,0,0,9
"plan3735","e5cbc13838","Secretary",113894.0,0,0.0,0,0,0
"plan3733","7364de2506","HR Manager",146357.0,0,0.0,0,0,0
"plan3730","b5c768ed18","Software Developer",136694.0,0,0.0,0,0,0
"plan3728","939241cdbf","Researcher",142453.0,0,0.0,0,0,0
"plan3726","65a66da477","Accountant",127864.0,0,0.0,0,0,0
"plan3725","d039a78a5e","HR Manager",112504.0,0,0.0,0,0,0
"plan3724","2c41bf254a","Head of Marketing and Sales",96070.0,0,0.0,0,0,0
"plan3723","f7e05c4a5f","Designer",111885.0,0,0.0,0,0,0
"plan3722","bf395e9704","Designer",126512.0,4,506048.0,0,0,4
"plan3720","7b324fc28a","Administrative Officer",102541.0,7,717787.0,0,0,7
"plan3719","ec9db676b4","Researcher",107483.0,0,0.0,0,0,0
"plan3718","07b44240f7","Head of Marketing and Sales",118527.0,0,0.0,0,0,0
"plan3717","13376f27d4","Engineer",80950.0,0,0.0,0,0,0
"plan3715","1ce883df27","Secretary",102679.0,0,0.0,0,0,0
"plan3712","ec364af195","Analyst",81940.0,5,409700.0,0,0,5
"plan3710","c9567a7bb5","Accountant",148701.0,0,0.0,0,0,0
"plan3709","75b4111b0a","Accountant",132272.0,0,0.0,0,0,0
"plan3708","01e357b5e8","Project Manager",54516.0,0,0.0,0,0,0
"plan3707","392fedd010","Head of Marketing and Sales",142023.0,0,0.0,0,0,0
"plan3703","8a093b7544","Associate",89126.0,0,0.0,0,0,0
"plan3701","1d8cc155fd","Head of Marketing and Sales",119125.0,5,595625.0,0,0,5
"plan3700","c6205ba044","Associate",62531.0,4,250124.0,0,0,4
"plan3699","11d8a5dfa6","Project Manager",82529.0,4,330116.0,0,0,4
"plan3698","b38fcef2eb","Administrative Officer",61567.0,0,0.0,0,0,0
"plan3697","5fc143dccd","Researcher",82921.0,4,331684.0,0,0,4
"plan3696","92d87312a7","Researcher",138452.0,5,692260.0,0,0,5
"plan3694","4d77c6a69e","Researcher",136930.0,5,684650.0,0,0,5
"plan3693","edd4ee1e05","Project Manager",132153.0,6,792918.0,0,0,6
"plan3692","cbf190ff28","Accountant",83491.0,0,0.0,0,0,0
"plan3691","3508b0b947","Software Developer",127205.0,2,254410.0,0,0,2
"plan3690","ad2634500c","HR Manager",97903.0,2,195806.0,0,0,2
"plan3687","36b4438faf","Associate",75252.0,0,0.0,0,0,0
"plan3685","48aa5bca9c","Project Manager",129423.0,0,0.0,0,0,0
"plan3683","9c22c56bb8","Head of Marketing and Sales",59334.0,0,0.0,0,0,0
"plan3681","398b144a79","Designer",117063.0,0,0.0,0,0,0
"plan3680","0dc5c0d9e5","Accountant",145795.0,11,1603745.0,0,0,11
"plan3679","15e1a43de2","Administrative Officer",149108.0,7,1043756.0,0,0,7
"plan3677","b7c21219df","Project Manager",70863.0,0,0.0,0,0,0
"plan3674","690969275a","Researcher",110418.0,10,1104180.0,0,0,10
"plan3673","a9cbea34b6","Researcher",137556.0,0,0.0,0,0,0
"plan3672","11a1c74496","Software Developer",126362.0,0,0.0,0,0,0
"plan3671","3d8f65d1d1","Project Manager",147167.0,0,0.0,0,0,0
"plan3669","9e5fa3b822","Business Development Manager",73209.0,9,658881.0,0,0,9
"plan3666","b2ca75edc3","Researcher",141991.0,0,0.0,0,0,0
"plan3665","e105c1755e","Head of Marketing and Sales",99497.0,8,795976.0,0,0,8
"plan3664","a69fee7c2f","Administrative Officer",102502.0,0,0.0,0,0,0
"plan3663","a93433039e","Head of Marketing and Sales",102319.0,0,0.0,0,0,0
"plan3662","56c3018aaf","Software Developer",74003.0,0,0.0,0,0,0
"plan3660","d01e85b9e1","Business Development Manager",52476.0,0,0.0,0,0,0
"plan3659","fcdfb29363","Engineer",101056.0,0,0.0,0,0,0
"plan3658","4fa6f1a9e7","Accountant",122096.0,0,0.0,0,0,0
"plan3657","1f67b6f8f9","Software Developer",65940.0,0,0.0,0,0,0
"plan3656","eb2a90ec31","Researcher",148315.0,4,593260.0,0,0,4
"plan3654","46dad47608","Analyst",65023.0,4,260092.0,0,0,4
"plan3653","c0447c6a1c","Secretary",145525.0,11,1600775.0,0,0,11
"plan3652","3419022118","Project Manager",140169.0,3,420507.0,0,0,3
"plan3651","b46811bf64","HR Manager",116338.0,10,1163380.0,0,0,10
"plan3650","c29f000c9a","Secretary",140247.0,0,0.0,0,0,0
"plan3649","9142b56a93","Designer",114216.0,11,1256376.0,0,0,11
"plan3647","f2a31e5be0","Engineer",100965.0,4,403860.0,0,0,4
"plan3646","5708d6c1bb","Project Manager",149361.0,5,746805.0,0,0,5
"plan3645","3f50d80498","Accountant",89749.0,7,628243.0,0,0,7
"plan3644","abe953c52a","HR Manager",116611.0,5,583055.0,0,0,5
"plan3643","5c31a39016","HR Manager",133176.0,0,0.0,0,0,0
"plan3642","f22b472d3a","Designer",98754.0,7,691278.0,0,0,7
"plan3641","905f8ad02f","Secretary",88446.0,0,0.0,0,0,0
"plan3639","cf7cc887d5","Secretary",104068.0,11,1144748.0,0,0,11
"plan3638","841559d1a0","Accountant",78332.0,7,548324.0,0,0,7
"plan3637","7ce0f9b2d5","Business Development Manager",115170.0,8,921360.0,0,0,8
"plan3636","b150d18e49","Secretary",71483.0,7,500381.0,0,0,7
"plan3635","4344d560d8","Researcher",86518.0,7,605626.0,0,0,7
"plan3634","da168252c4","HR Manager",87628.0,6,525768.0,0,0,6
"plan3633","066390a474","Project Manager",113495.0,0,0.0,0,0,0
"plan3631","e3f72b9970","HR Manager",118502.0,0,0.0,0,0,0
"plan3630","bca2771825","Software Developer",76609.0,0,0.0,0,0,0
"plan3628","5ed421b187","Associate",139060.0,0,0.0,0,0,0
"plan3627","e0a731a8e4","Engineer",74516.0,0,0.0,0,0,0
"plan3625","80419b1844","Researcher",117318.0,8,938544.0,0,0,8
"plan3623","2646bdf554","Designer",73582.0,6,441492.0,0,0,6
"plan3621","bc18ba4860","Business Development Manager",143294.0,10,1432940.0,0,0,10
"plan3620","ff9853991a","Accountant",127181.0,2,254362.0,0,0,2
"plan3619","56c1692396","Accountant",147549.0,5,737745.0,0,0,5
"plan3618","22d3bfd0c2","Engineer",131961.0,4,527844.0,0,0,4
"plan3615","c151dc5531","Designer",96680.0,10,966800.0,0,0,10
"plan3614","8fe10be888","Associate",60213.0,4,240852.0,0,0,4
"plan3613","bb93f670fd","HR Manager",101449.0,0,0.0,0,0,0
"plan3610","e58186d883","Designer",149890.0,4,599560.0,0,0,4
"plan3608","55c80f0a19","Analyst",145774.0,8,1166192.0,0,0,8
"plan3607","6163b56acf","Researcher",57410.0,9,516690.0,0,0,9
"plan3606","eaacb53c78","Designer",137952.0,0,0.0,0,0,0
"plan3604","8596bf4cf9","Analyst",72404.0,0,0.0,0,0,0
"plan3603","9ab21d9631","Software Developer",63223.0,0,0.0,0,0,0
"plan3601","db5424d25e","Associate",83691.0,0,0.0,0,0,0
"plan3600","eef8af4808","Designer",86752.0,0,0.0,0,0,0
"plan3599","e88b7913be","HR Manager",57872.0,0,0.0,0,0,0
"plan3597","c949ea743c","Designer",113784.0,11,1251624.0,0,0,11
"plan3596","3b4e67a8d1","Business Development Manager",147192.0,9,1324728.0,0,0,9
"plan3595","73a7d9aff2","HR Manager",60860.0,5,304300.0,0,0,5
"plan3594","3abf0962b9","Project Manager",138620.0,7,970340.0,0,0,7
"plan3593","7b65149d39","Administrative Officer",101011.0,0,0.0,0,0,0
"plan3592","62fc3b7fed","Head of Marketing and Sales",79345.0,0,0.0,0,0,0
"plan3591","4be449663a","Administrative Officer",64382.0,10,643820.0,0,0,10
"plan3590","8bc4ba0bb3","Designer",134071.0,8,1072568.0,0,0,8
"plan3589","744bec41eb","Engineer",98848.0,2,197696.0,0,0,2
"plan3588","898cab641b","Associate",66203.0,0,0.0,0,0,0
"plan3587","e240c94b93","Analyst",132568.0,3,397704.0,0,0,3
"plan3586","5c710650f7","Administrative Officer",85053.0,0,0.0,0,0,0
"plan3585","a1f149ad34","Engineer",148805.0,0,0.0,0,0,0
"plan3584","d630a33866","Secretary",110523.0,8,884184.0,0,0,8
"plan3583","e412f9a67c","Analyst",51323.0,0,0.0,0,0,0
"plan3582","c56a2e8fb9","Researcher",64017.0,4,256068.0,0,0,4
"plan3581","f2c4e2656c","Project Manager",55929.0,0,0.0,0,0,0
"plan3580","7b6c1aefe3","Software Developer",73743.0,0,0.0,0,0,0
"plan3577","ef4ec4cb8e","Project Manager",58806.0,7,411642.0,0,0,7
"plan3576","1f234e0b31","Administrative Officer",80617.0,11,886787.0,0,0,11
"plan3575","605a9ca8e3","Project Manager",103876.0,0,0.0,0,0,0
"plan3574","c123984eb5","Accountant",72026.0,0,0.0,0,0,0
"plan3573","3e39df9928","Researcher",135455.0,10,1354550.0,0,0,10
"plan3571","cda5e31bdf","Software Developer",67799.0,0,0.0,0,0,0
"plan3570","b779c0d2cc","Designer",50117.0,0,0.0,0,0,0
"plan3569","b23a08951b","Business Development Manager",81603.0,2,163206.0,0,0,2
"plan3568","b4167069f2","Engineer",135034.0,0,0.0,0,0,0
"plan3567","2754c24bd0","Project Manager",97119.0,8,776952.0,0,0,8
"plan3566","3ca8b6e784","Engineer",58509.0,0,0.0,0,0,0
"plan3565","5d997a35ed","Secretary",135785.0,10,1357850.0,0,0,10
"plan3564","5e924ad63b","HR Manager",86492.0,9,778428.0,0,0,9
"plan3563","0df422509d","Analyst",87434.0,0,0.0,0,0,0
"plan3562","a71f8a653e","Head of Marketing and Sales",120114.0,0,0.0,0,0,0
"plan3561","a6e45b52c9","Researcher",58611.0,0,0.0,0,0,0
"plan3560","bb484af34a","Head of Marketing and Sales",145988.0,2,291976.0,0,0,2
"plan3559","930091e9cc","Accountant",66756.0,7,467292.0,0,0,7
"plan3558","5a2eba5647","Head of Marketing and Sales",76263.0,5,381315.0,0,0,5
"plan3557","84b5eedf45","Software Developer",110268.0,4,441072.0,0,0,4
"plan3556","572cc74742","Software Developer",124337.0,0,0.0,0,0,0
"plan3555","0468af5715","Head of Marketing and Sales",148999.0,4,595996.0,0,0,4
"plan3554","5ca0a74d8c","Software Developer",61240.0,6,367440.0,0,0,6
"plan3553","6cc566fe51","Researcher",148663.0,0,0.0,0,0,0
"plan3551","fdc9fda2b6","Associate",92463.0,0,0.0,0,0,0
"plan3550","a76d9a9ba0","Head of Marketing and Sales",71186.0,5,355930.0,0,0,5
"plan3549","2b1e1da925","Researcher",135514.0,6,813084.0,0,0,6
"plan3546","ff4f1a43bc","Business Development Manager",122114.0,0,0.0,0,0,0
"plan3545","dbcb7d5524","Administrative Officer",77605.0,0,0.0,0,0,0
"plan3544","e893443b6d","Researcher",139362.0,2,278724.0,0,0,2
"plan3543","aa17efb3d8","Secretary",62101.0,0,0.0,0,0,0
"plan3542","f6658b9300","Secretary",73665.0,0,0.0,0,0,0
"plan3540","1a920b002b","Associate",137144.0,7,960008.0,0,0,7
"plan3539","66254e4141","HR Manager",138773.0,6,832638.0,0,0,6
"plan3538","1273e003ed","Researcher",145995.0,0,0.0,0,0,0
"plan3537","d6cc5cda39","Analyst",135251.0,0,0.0,0,0,0
"plan3536","9ba895dfbc","Business Development Manager",86767.0,0,0.0,0,0,0
"plan3534","aa7b493129","HR Manager",105942.0,0,0.0,0,0,0
"plan3533","ae1abaeaf2","Software Developer",125541.0,8,1004328.0,0,0,8
"plan3532","93ed859c9b","Accountant",145676.0,6,874056.0,0,0,6
"plan3531","492eb2ec79","Researcher",136670.0,4,546680.0,0,0,4
"plan3530","14ccd5be5d","Associate",57410.0,9,516690.0,0,0,9
"plan3529","bc9b6ba4ce","Head of Marketing and Sales",64410.0,0,0.0,0,0,0
"plan3527","b1559c8e17","Accountant",82409.0,0,0.0,0,0,0
"plan3526","9492adf179","Accountant",110508.0,0,0.0,0,0,0
"plan3525","c418c6ada9","Software Developer",59580.0,0,0.0,0,0,0
"plan3524","14a6f34ff2","Designer",57301.0,0,0.0,0,0,0
"plan3523","9201977f35","Secretary",54892.0,0,0.0,0,0,0
"plan3522","e925a9b7d2","Administrative Officer",100940.0,3,302820.0,0,0,3
"plan3521","6073c29f95","Engineer",63405.0,4,253620.0,0,0,4
"plan3520","7b0d28d1f0","Software Developer",87500.0,0,0.0,0,0,0
"plan3519","77f92774a6","Business Development Manager",61370.0,0,0.0,0,0,0
"plan3518","b77d934712","Software Developer",110492.0,0,0.0,0,0,0
"plan3517","4cde2b6570","Engineer",107290.0,0,0.0,0,0,0
"plan3516","43925099c0","Accountant",131502.0,0,0.0,0,0,0
"plan3515","c4f5831092","Head of Marketing and Sales",144300.0,0,0.0,0,0,0
"plan3514","bb8d0e3293","Head of Marketing and Sales",111642.0,0,0.0,0,0,0
"plan3513","336ecd12d8","Analyst",111134.0,0,0.0,0,0,0
"plan3512","978d0b8189","Analyst",136025.0,0,0.0,0,0,0
"plan3511","92723f4ff7","Administrative Officer",97374.0,0,0.0,0,0,0
"plan3510","e34b41162a","Researcher",99273.0,0,0.0,0,0,0
"plan3509","bdb704f800","Software Developer",52781.0,9,475029.0,0,0,9
"plan3508","8911bb4c9d","Associate",88452.0,0,0.0,0,0,0
"plan3507","04bc92b817","Business Development Manager",94246.0,10,942460.0,0,0,10
"plan3506","5147517df9","Engineer",99656.0,0,0.0,0,0,0
"plan3505","98c8877a8a","Analyst",127710.0,0,0.0,0,0,0
"plan3504","35102af7f7","Project Manager",85688.0,0,0.0,0,0,0
"plan3503","e2756e30d3","Business Development Manager",72124.0,0,0.0,0,0,0
"plan3502","ed6ed1f033","Engineer",146189.0,0,0.0,0,0,0
"plan3501","dee376c70b","Associate",103620.0,0,0.0,0,0,0
"plan3499","3d113916cb","Head of Marketing and Sales",86689.0,0,0.0,0,0,0
"plan3495","8872997286","HR Manager",137245.0,0,0.0,0,0,0
"plan3494","03865bc1d2","Researcher",87920.0,0,0.0,0,0,0
"plan3492","4483306376","Software Developer",82934.0,4,331736.0,0,0,4
"plan3490","03a6070ef7","Head of Marketing and Sales",93645.0,9,842805.0,0,0,9
"plan3489","d1ed24e725","Designer",90466.0,0,0.0,0,0,0
"plan3488","7440c77d84","Accountant",111773.0,0,0.0,0,0,0
"plan3486","f9760ac9f9","Head of Marketing and Sales",129587.0,0,0.0,0,0,0
"plan3484","190ebd99aa","Business Development Manager",145062.0,0,0.0,0,0,0
"plan3483","28f0a61bd7","Administrative Officer",145784.0,0,0.0,0,0,0
"plan3481","acd349d208","Engineer",145107.0,4,580428.0,0,0,4
"plan3480","b6cb9604b8","Administrative Officer",108046.0,0,0.0,0,0,0
"plan3479","8b9efa2818","Head of Marketing and Sales",61855.0,0,0.0,0,0,0
"plan3478","0558dc4517","Administrative Officer",95461.0,0,0.0,0,0,0
"plan3475","8dd96361b0","Associate",139132.0,6,834792.0,0,0,6
"plan3474","598298a0a1","Accountant",137757.0,3,413271.0,0,0,3
"plan3473","3a3b4961e9","Secretary",50724.0,11,557964.0,0,0,11
"plan3472","7000dbe90b","Project Manager",116012.0,5,580060.0,0,0,5
"plan3471","020b92e0a1","Designer",90896.0,0,0.0,0,0,0
"plan3470","7dfdda23c0","Administrative Officer",137328.0,0,0.0,0,0,0
"plan3469","49f959ca02","Designer",80919.0,0,0.0,0,0,0
"plan3466","14e81c4a5d","Business Development Manager",99628.0,0,0.0,0,0,0
"plan3462","c112f3be74","Engineer",55165.0,0,0.0,0,0,0
"plan3461","4b9c0207ae","Secretary",97384.0,0,0.0,0,0,0
"plan3460","d7156bf558","Accountant",147796.0,5,738980.0,0,0,5
"plan3457","3d72eb637e","Designer",54688.0,10,546880.0,0,0,10
"plan3456","2af2195ac0","Project Manager",143964.0,2,287928.0,0,0,2
"plan3455","697fc1e79e","Administrative Officer",114517.0,0,0.0,0,0,0
"plan3453","b782b66c26","Analyst",117786.0,0,0.0,0,0,0
"plan3452","ccc9c5af85","Designer",117039.0,0,0.0,0,0,0
"plan3451","89c51a6eea","HR Manager",124505.0,0,0.0,0,0,0
"plan3450","cc807d6852","Project Manager",138398.0,0,0.0,0,0,0
"plan3448","a9e6c43716","Accountant",98459.0,2,196918.0,0,0,2
"plan3447","bc66f0154e","Engineer",140665.0,4,562660.0,0,0,4
"plan3446","966837562c","Associate",60261.0,0,0.0,0,0,0
"plan3445","2c44dd49fc","Business Development Manager",73445.0,0,0.0,0,0,0
"plan3444","9d34f3f26e","Project Manager",87357.0,0,0.0,0,0,0
"plan3441","9eed80d056","HR Manager",142946.0,0,0.0,0,0,0
"plan3440","39793fc6a7","Designer",62258.0,0,0.0,0,0,0
"plan3437","4d405bd5db","Researcher",147838.0,0,0.0,0,0,0
"plan3436","371f3305aa","Associate",66760.0,0,0.0,0,0,0
"plan3434","30e2f08738","Designer",75398.0,0,0.0,0,0,0
"plan3431","1eb1ca02d3","Software Developer",121591.0,0,0.0,0,0,0
"plan3430","203adc662a","Head of Marketing and Sales",106022.0,0,0.0,0,0,0
"plan3428","e6d2fcdcaa","Analyst",57521.0,2,115042.0,0,0,2
"plan3432","ef1ac326bd","Software Developer",102399.0,6,614394.0,0,0,6
"plan3429","74173ea2f2","Engineer",145395.0,0,0.0,0,0,0
"plan3424","f05bf0c744","Researcher",144582.0,4,578328.0,0,0,4
"plan3423","b028084bf1","Project Manager",131346.0,7,919422.0,0,0,7
"plan3422","3cf335e170","HR Manager",116579.0,0,0.0,0,0,0
"plan3421","641dce68e1","Accountant",103712.0,0,0.0,0,0,0
"plan3417","249f729385","HR Manager",59968.0,0,0.0,0,0,0
"plan3416","3112213d34","Researcher",147041.0,0,0.0,0,0,0
"plan3415","5dfeb42a72","Project Manager",135538.0,0,0.0,0,0,0
"plan3414","0aeefe4854","Analyst",141904.0,0,0.0,0,0,0
"plan3411","1337589a58","Business Development Manager",123787.0,0,0.0,0,0,0
"plan3409","cb4c45a0a3","Engineer",122916.0,0,0.0,0,0,0
"plan3405","92e051f4f2","Administrative Officer",63914.0,0,0.0,0,0,0
"plan3402","9e8aefbc62","Associate",56553.0,4,226212.0,0,0,4
"plan3401","db912b0ef6","Software Developer",139385.0,0,0.0,0,0,0
"plan3400","95c5fc59c9","Business Development Manager",91606.0,0,0.0,0,0,0
"plan3399","b97d6804f2","Researcher",146326.0,0,0.0,0,0,0
