"ID","ID (Staffing Plan Detail)","Vacancies (Staffing Plan Detail)","Total Estimated Cost (Staffing Plan Detail)","Current Openings (Staffing Plan Detail)","Designation (Staffing Plan Detail)","Estimated Cost Per Position (Staffing Plan Detail)","Current Count (Staffing Plan Detail)","Number Of Positions (Staffing Plan Detail)"
"plan1837","8ab411701a",0,0.0,0,"Software Developer",88987.0,0,0
"plan1836","ed0d82d061",7,975702.0,0,"Software Developer",139386.0,0,7
"plan1835","ee3064ba95",3,432363.0,0,"Accountant",144121.0,0,3
"plan1834","672e82910a",6,575088.0,0,"Researcher",95848.0,0,6
"plan1833","059fbb189d",2,259178.0,0,"Software Developer",129589.0,0,2
"plan1832","f6be29552d",0,0.0,0,"Analyst",72227.0,0,0
"plan1831","2ad03f87cc",9,1020420.0,0,"Researcher",113380.0,0,9
"plan1830","eb73e42c88",7,429051.0,0,"Analyst",61293.0,0,7
"plan1829","0bd4cf7890",0,0.0,0,"Head of Marketing and Sales",113575.0,0,0
"plan1828","378b90530b",0,0.0,0,"Project Manager",119532.0,0,0
"plan1826","0e71057922",0,0.0,0,"Project Manager",72182.0,0,0
"plan1824","cd332781b4",0,0.0,0,"Business Development Manager",79246.0,0,0
"plan1823","22f14cd315",0,0.0,0,"Researcher",85014.0,0,0
"plan1822","e080fe02f9",0,0.0,0,"Project Manager",134234.0,0,0
"plan1821","7f4a78455f",9,884079.0,0,"Accountant",98231.0,0,9
"plan1820","cc4ab475cd",11,1337501.0,0,"Business Development Manager",121591.0,0,11
"plan1819","7e9d583596",3,275427.0,0,"Head of Marketing and Sales",91809.0,0,3
"plan1818","2341e5b938",7,618639.0,0,"Engineer",88377.0,0,7
"plan1817","096b529c8a",0,0.0,0,"Secretary",99193.0,0,0
"plan1816","9332327113",3,371040.0,0,"Engineer",123680.0,0,3
"plan1815","8bd7d072b3",4,232448.0,0,"Software Developer",58112.0,0,4
"plan1814","aa691a980c",9,1056240.0,0,"Business Development Manager",117360.0,0,9
"plan1813","6af88f39a6",0,0.0,0,"Analyst",62072.0,0,0
"plan1812","c5774cea34",2,120616.0,0,"Secretary",60308.0,0,2
"plan1811","14393abb2e",5,624360.0,0,"Analyst",124872.0,0,5
"plan1809","e2e00bcfc0",0,0.0,0,"Accountant",108809.0,0,0
"plan1807","fd649eda81",4,502648.0,0,"Engineer",125662.0,0,4
"plan1806","a5ef5e32cc",0,0.0,0,"Software Developer",87387.0,0,0
"plan1805","106eae96b3",9,566190.0,0,"Accountant",62910.0,0,9
"plan1803","ec06b1c701",0,0.0,0,"Designer",105597.0,0,0
"plan1802","ec476ae526",0,0.0,0,"Administrative Officer",144896.0,0,0
"plan1801","674d3d1391",9,691371.0,0,"Software Developer",76819.0,0,9
"plan1800","7a523016da",5,454905.0,0,"Secretary",90981.0,0,5
"plan1799","a1b294f6c4",4,341768.0,0,"Accountant",85442.0,0,4
"plan1798","113d47904b",9,691101.0,0,"Secretary",76789.0,0,9
"plan1797","1b35a9cfc3",2,293560.0,0,"Researcher",146780.0,0,2
"plan1795","03a6c6e936",8,520128.0,0,"Head of Marketing and Sales",65016.0,0,8
"plan1794","f255b7d386",0,0.0,0,"Accountant",67024.0,0,0
"plan1793","05ab0b767b",10,637140.0,0,"Designer",63714.0,0,10
"plan1790","5acc2d4843",3,356775.0,0,"Administrative Officer",118925.0,0,3
"plan1789","a259d7b358",11,1169982.0,0,"Analyst",106362.0,0,11
"plan1788","02628d6838",2,237758.0,0,"Designer",118879.0,0,2
"plan1787","ae5b0d5de1",0,0.0,0,"Engineer",119315.0,0,0
"plan1786","bd1d939741",0,0.0,0,"Secretary",136983.0,0,0
"plan1784","e3b40dc019",7,677418.0,0,"Engineer",96774.0,0,7
"plan1782","acae56f9ca",3,180087.0,0,"Engineer",60029.0,0,3
"plan1781","a569400145",3,362502.0,0,"Analyst",120834.0,0,3
"plan1780","1dab41c626",0,0.0,0,"Administrative Officer",66434.0,0,0
"plan1779","24ed3d65a2",8,934072.0,0,"Engineer",116759.0,0,8
"plan1776","a1b2c97f7c",8,861448.0,0,"HR Manager",107681.0,0,8
"plan1775","41f106ba8e",0,0.0,0,"Business Development Manager",78269.0,0,0
"plan1774","9ec64b7d01",9,503784.0,0,"Secretary",55976.0,0,9
"plan1773","3d3efdad46",11,686708.0,0,"Researcher",62428.0,0,11
"plan1771","05cb622ad4",7,439362.0,0,"Designer",62766.0,0,7
"plan1770","0d7b2151c1",8,540728.0,0,"Head of Marketing and Sales",67591.0,0,8
"plan1769","ede6e815dc",7,1040578.0,0,"Researcher",148654.0,0,7
"plan1768","0ddb44b118",9,944028.0,0,"Business Development Manager",104892.0,0,9
"plan1767","9302f3c503",11,636361.0,0,"Software Developer",57851.0,0,11
"plan1761","0f7ea251a2",9,609012.0,0,"Associate",67668.0,0,9
"plan1760","fdcdb13914",8,840840.0,0,"Business Development Manager",105105.0,0,8
"plan1759","ed745bb665",0,0.0,0,"Designer",81125.0,0,0
"plan1758","5622d11e0d",0,0.0,0,"Researcher",85840.0,0,0
"plan1754","50a19afef9",4,240608.0,0,"Associate",60152.0,0,4
"plan1751","5e72af1db6",2,229186.0,0,"Secretary",114593.0,0,2
"plan1750","8262b2d287",9,1066392.0,0,"Accountant",118488.0,0,9
"plan1749","f636d82653",0,0.0,0,"Secretary",123092.0,0,0
"plan1748","1b5c16de11",4,305688.0,0,"Head of Marketing and Sales",76422.0,0,4
"plan1746","eec520dd4a",0,0.0,0,"Software Developer",77217.0,0,0
"plan1745","9af0c36424",0,0.0,0,"Researcher",86833.0,0,0
"plan1740","37836cbea5",5,324335.0,0,"Researcher",64867.0,0,5
"plan1739","7daadc0c54",0,0.0,0,"Accountant",50227.0,0,0
"plan1738","aff1e5d552",0,0.0,0,"Software Developer",53297.0,0,0
"plan1734","08c0585919",0,0.0,0,"Associate",81434.0,0,0
"plan1732","8a9bbe50ca",8,1127048.0,0,"Head of Marketing and Sales",140881.0,0,8
"plan1730","9cec67e3d3",4,218680.0,0,"Administrative Officer",54670.0,0,4
"plan1729","7141a4361f",7,542199.0,0,"Secretary",77457.0,0,7
"plan1728","9d9b2c2e10",8,1030512.0,0,"Designer",128814.0,0,8
"plan1724","87a72b1f2b",0,0.0,0,"Software Developer",141510.0,0,0
"plan1723","023150894d",11,856471.0,0,"Analyst",77861.0,0,11
"plan1721","0c6ec549d0",8,1186160.0,0,"Engineer",148270.0,0,8
"plan1719","34188c338d",0,0.0,0,"Accountant",145933.0,0,0
"plan1718","7aa1cce6df",5,710140.0,0,"Analyst",142028.0,0,5
"plan1716","6ded4a37bf",3,241866.0,0,"Associate",80622.0,0,3
"plan1715","2910f30884",3,174342.0,0,"Administrative Officer",58114.0,0,3
"plan1713","39886d9574",5,580945.0,0,"HR Manager",116189.0,0,5
"plan1712","9d2d6d72f0",0,0.0,0,"Designer",145071.0,0,0
"plan1711","661fe86ec9",8,1157096.0,0,"Administrative Officer",144637.0,0,8
"plan1708","263d1cf57c",2,179158.0,0,"HR Manager",89579.0,0,2
"plan1707","cca801ec40",0,0.0,0,"Head of Marketing and Sales",60992.0,0,0
"plan1699","626ace28bc",2,234908.0,0,"Designer",117454.0,0,2
"plan1698","8caf52bb87",8,604248.0,0,"Associate",75531.0,0,8
"plan1696","63c03f4008",7,443219.0,0,"Analyst",63317.0,0,7
"plan1695","dca37f40ac",0,0.0,0,"Administrative Officer",71850.0,0,0
"plan1694","87fcc8020a",7,439446.0,0,"Designer",62778.0,0,7
"plan1692","9f64c861bf",0,0.0,0,"Accountant",125074.0,0,0
"plan1691","9877f78699",0,0.0,0,"Software Developer",78861.0,0,0
"plan1690","cf9fd5cf68",9,1153917.0,0,"Administrative Officer",128213.0,0,9
"plan1689","b42e7efbab",0,0.0,0,"Software Developer",97679.0,0,0
"plan1688","487540acf5",0,0.0,0,"Researcher",68436.0,0,0
"plan1687","c398e34e32",0,0.0,0,"Project Manager",146094.0,0,0
"plan1685","4bb883425b",6,521712.0,0,"Accountant",86952.0,0,6
"plan1684","90af97c066",0,0.0,0,"Analyst",114093.0,0,0
"plan1683","cc11a58d64",7,798385.0,0,"Analyst",114055.0,0,7
"plan1682","caf6a288b7",5,708910.0,0,"Business Development Manager",141782.0,0,5
"plan1678","b85b5ee68d",0,0.0,0,"Designer",118999.0,0,0
"plan1677","bcea395e31",4,331784.0,0,"Administrative Officer",82946.0,0,4
"plan1676","a11d4921f8",0,0.0,0,"Accountant",50993.0,0,0
"plan1674","c70f87df86",0,0.0,0,"Engineer",87258.0,0,0
"plan1673","2a81104985",5,394260.0,0,"Engineer",78852.0,0,5
"plan1672","3b66711431",0,0.0,0,"Associate",130947.0,0,0
"plan1671","384f6c8952",0,0.0,0,"Associate",110337.0,0,0
"plan1670","d73b819d1a",4,202092.0,0,"Analyst",50523.0,0,4
"plan1669","e9aed629b2",0,0.0,0,"Accountant",74951.0,0,0
"plan1668","c70f75e70e",7,611702.0,0,"Accountant",87386.0,0,7
"plan1667","5e57153536",0,0.0,0,"Engineer",55700.0,0,0
"plan1666","a6b0cea8f4",8,909056.0,0,"HR Manager",113632.0,0,8
"plan1665","505fbdb081",0,0.0,0,"Associate",102115.0,0,0
"plan1662","b99f7a143e",11,1333409.0,0,"Secretary",121219.0,0,11
"plan1612","82430624c0",0,0.0,0,"Associate",89933.0,0,0
"plan1611","6ed4449990",0,0.0,0,"Associate",140875.0,0,0
"plan1608","e1d102a663",10,1023370.0,0,"Secretary",102337.0,0,10
"plan1607","5dde3a4ff1",10,556090.0,0,"Administrative Officer",55609.0,0,10
"plan1606","d5fd4081b5",3,199617.0,0,"Business Development Manager",66539.0,0,3
"plan1605","3c587937e8",6,452934.0,0,"Associate",75489.0,0,6
"plan1604","0c79e7bfdc",11,1032141.0,0,"Head of Marketing and Sales",93831.0,0,11
"plan1603","546fdfffa6",0,0.0,0,"Associate",140597.0,0,0
"plan1602","fa12d7ac43",2,204582.0,0,"Secretary",102291.0,0,2
"plan1601","cedf973042",0,0.0,0,"Head of Marketing and Sales",123876.0,0,0
"plan1599","5edd011381",2,197976.0,0,"HR Manager",98988.0,0,2
"plan1598","78ed145ce5",2,222164.0,0,"Project Manager",111082.0,0,2
"plan1596","c5b4d550ab",0,0.0,0,"Administrative Officer",72675.0,0,0
"plan1595","7d29a12808",0,0.0,0,"Head of Marketing and Sales",103801.0,0,0
"plan1593","2f867f4a3f",0,0.0,0,"Engineer",61408.0,0,0
"plan1592","5952ddd1d3",2,251712.0,0,"HR Manager",125856.0,0,2
"plan1591","f084d8b291",4,242188.0,0,"Accountant",60547.0,0,4
"plan1589","94ab7dde76",4,268540.0,0,"Project Manager",67135.0,0,4
"plan1588","0d5447ebf9",6,815766.0,0,"Software Developer",135961.0,0,6
"plan1587","bd91a10947",5,526600.0,0,"Engineer",105320.0,0,5
"plan1586","9748e7681d",7,585298.0,0,"Engineer",83614.0,0,7
"plan1585","b00f020a93",11,879285.0,0,"Analyst",79935.0,0,11
"plan1584","d7fe43aed1",3,368634.0,0,"Researcher",122878.0,0,3
"plan1581","60590eca87",0,0.0,0,"Associate",67147.0,0,0
"plan1580","60e9d3c2d7",7,673617.0,0,"Researcher",96231.0,0,7
"plan1578","5f48101603",8,529240.0,0,"Project Manager",66155.0,0,8
"plan1577","5978c87355",3,240018.0,0,"Secretary",80006.0,0,3
"plan1576","1ddd6223c3",2,158898.0,0,"HR Manager",79449.0,0,2
"plan1575","5b853d0653",8,1074264.0,0,"Analyst",134283.0,0,8
"plan1572","ca2cc59504",0,0.0,0,"Researcher",59691.0,0,0
"plan1567","45c58a5e6d",0,0.0,0,"Researcher",123207.0,0,0
"plan1566","e62025e23f",0,0.0,0,"Secretary",54881.0,0,0
"plan1564","6eff7d3350",0,0.0,0,"Administrative Officer",100811.0,0,0
"plan1563","df6108fd05",6,519900.0,0,"Administrative Officer",86650.0,0,6
"plan1561","27b71e54cd",7,449862.0,0,"Accountant",64266.0,0,7
"plan1560","06c0b62cc3",3,175869.0,0,"Project Manager",58623.0,0,3
"plan1559","b450318086",0,0.0,0,"Software Developer",55603.0,0,0
"plan1558","91f4521719",9,1277811.0,0,"Administrative Officer",141979.0,0,9
"plan1556","8c2e3399a2",0,0.0,0,"Head of Marketing and Sales",98696.0,0,0
"plan1553","0674058b8e",3,373851.0,0,"HR Manager",124617.0,0,3
"plan1552","b0d22e9440",0,0.0,0,"Secretary",107321.0,0,0
"plan1551","4cfa69d685",8,585440.0,0,"Project Manager",73180.0,0,8
"plan1549","734d2eb964",4,399276.0,0,"Associate",99819.0,0,4
"plan1548","102cbf4c96",11,1230537.0,0,"Project Manager",111867.0,0,11
"plan1547","441f357521",0,0.0,0,"Designer",94455.0,0,0
"plan1545","fdf438027b",8,453984.0,0,"Project Manager",56748.0,0,8
"plan1544","3cd3d00fc9",0,0.0,0,"Administrative Officer",139845.0,0,0
"plan1542","b84ca35c88",7,741216.0,0,"Project Manager",105888.0,0,7
"plan1540","34365637f2",4,515820.0,0,"Secretary",128955.0,0,4
"plan1539","d60ebef1ec",4,415544.0,0,"Accountant",103886.0,0,4
"plan1538","d4c966b78e",9,685107.0,0,"Software Developer",76123.0,0,9
"plan1537","bdd28b88f0",3,183234.0,0,"Software Developer",61078.0,0,3
"plan1536","eb9922d597",7,551656.0,0,"Designer",78808.0,0,7
"plan1535","52e092a942",10,503640.0,0,"Software Developer",50364.0,0,10
"plan1534","8bbf153bea",7,767970.0,0,"Software Developer",109710.0,0,7
"plan1533","4ccf01446e",0,0.0,0,"Analyst",84501.0,0,0
"plan1532","2375d5a8bb",0,0.0,0,"Project Manager",146741.0,0,0
"plan1530","c500983e45",5,264415.0,0,"Secretary",52883.0,0,5
"plan1529","2ceb1ff9f3",5,252805.0,0,"Business Development Manager",50561.0,0,5
"plan1528","8a10cbe9ef",0,0.0,0,"Researcher",61600.0,0,0
"plan1527","8a11237cc6",0,0.0,0,"Associate",130264.0,0,0
"plan1525","5e002fd2d0",0,0.0,0,"Analyst",103056.0,0,0
"plan1524","33559db0a6",0,0.0,0,"HR Manager",106076.0,0,0
"plan1522","47d0da536d",0,0.0,0,"HR Manager",82902.0,0,0
"plan1521","c86b4fb1f8",3,156486.0,0,"Designer",52162.0,0,3
"plan1520","10661d322d",5,466105.0,0,"Designer",93221.0,0,5
"plan1519","6da3f1b964",9,646488.0,0,"Secretary",71832.0,0,9
"plan1518","98e1d5eb20",7,369432.0,0,"Head of Marketing and Sales",52776.0,0,7
"plan1517","da26a51cb8",9,871965.0,0,"Administrative Officer",96885.0,0,9
"plan1516","7ae8fd4fb6",3,297234.0,0,"Software Developer",99078.0,0,3
"plan1515","c0ce788a55",3,222639.0,0,"Analyst",74213.0,0,3
"plan1514","bc7bb10eec",11,1030865.0,0,"Researcher",93715.0,0,11
"plan1512","5d6d697347",2,294456.0,0,"Project Manager",147228.0,0,2
"plan1511","dfc0170d75",2,279988.0,0,"Head of Marketing and Sales",139994.0,0,2
"plan1510","860c250d4e",7,938539.0,0,"HR Manager",134077.0,0,7
"plan1509","e4e5bdaffe",2,177244.0,0,"Associate",88622.0,0,2
"plan1508","839514b1eb",11,1334267.0,0,"Head of Marketing and Sales",121297.0,0,11
"plan1506","fdcc6db221",10,739720.0,0,"Software Developer",73972.0,0,10
"plan1504","a78786d50a",4,227924.0,0,"Researcher",56981.0,0,4
"plan1503","d4304e1b54",0,0.0,0,"Analyst",92459.0,0,0
"plan1501","cfb74931bf",0,0.0,0,"Project Manager",147801.0,0,0
"plan1500","4218a331c8",0,0.0,0,"Business Development Manager",53317.0,0,0
"plan1498","9fa7f1a2fa",0,0.0,0,"Designer",109345.0,0,0
"plan1497","27d1718f42",3,273831.0,0,"Designer",91277.0,0,3
"plan1496","79be56ca0a",0,0.0,0,"Associate",124517.0,0,0
"plan1495","4d9a2f71fc",6,447000.0,0,"Designer",74500.0,0,6
"plan1494","43fae29098",5,549570.0,0,"Accountant",109914.0,0,5
"plan1493","dd4562aa63",0,0.0,0,"Researcher",102009.0,0,0
"plan1491","8c7ff9dda2",2,175720.0,0,"Designer",87860.0,0,2
"plan1490","d4a9e0d288",6,463776.0,0,"HR Manager",77296.0,0,6
"plan1489","b10e2e07bc",11,0.0,0,"Researcher",0.0,0,11
"plan1488","9808aaa6bb",4,599860.0,0,"HR Manager",149965.0,0,4
"plan1487","3b30940f10",11,555258.0,0,"Associate",50478.0,0,11
"plan1486","91f7a3195e",0,0.0,0,"Analyst",54536.0,0,0
"plan1485","1dbaa36085",11,1250095.0,0,"Software Developer",113645.0,0,11
"plan1483","c249802fc1",0,0.0,0,"HR Manager",144435.0,0,0
"plan1482","d6c7b32897",3,341274.0,0,"Associate",113758.0,0,3
"plan1481","e1ef68c262",0,0.0,0,"Analyst",111681.0,0,0
"plan1480","970e0e8d56",2,173390.0,0,"Secretary",86695.0,0,2
"plan1479","760db11cb4",8,417864.0,0,"Administrative Officer",52233.0,0,8
"plan1478","4d862c50c4",3,378330.0,0,"Researcher",126110.0,0,3
"plan1477","b92292f394",0,0.0,0,"Associate",130072.0,0,0
"plan1476","a59c4a1e4f",11,1240041.0,0,"Software Developer",112731.0,0,11
"plan1475","03e94c8ae5",11,1280565.0,0,"Accountant",116415.0,0,11
"plan1474","85cc973e78",0,0.0,0,"Project Manager",0.0,0,0
"plan1472","d9566401fe",0,0.0,0,"Engineer",108665.0,0,0
"plan1471","1a5381b67c",0,0.0,0,"Engineer",94209.0,0,0
"plan1470","9ac528286f",0,0.0,0,"Secretary",146926.0,0,0
"plan1469","8d19295f83",6,849936.0,0,"Head of Marketing and Sales",141656.0,0,6
"plan1468","eb644b71fd",0,0.0,0,"Administrative Officer",140173.0,0,0
"plan1467","e366022feb",11,1170565.0,0,"Secretary",106415.0,0,11
"plan1466","70d1b04cfe",5,449925.0,0,"Project Manager",89985.0,0,5
"plan1465","b9dc98f9d8",11,969386.0,0,"Associate",88126.0,0,11
"plan1464","b05ad71f36",10,1200280.0,0,"Project Manager",120028.0,0,10
"plan1463","59c326def6",6,828924.0,0,"Head of Marketing and Sales",138154.0,0,6
"plan1462","ecfc0c4fae",0,0.0,0,"Software Developer",89891.0,0,0
"plan1461","7bbb553708",0,0.0,0,"Secretary",119057.0,0,0
"plan1460","2a1cc171dd",0,0.0,0,"Associate",79692.0,0,0
"plan1459","4698b51933",0,0.0,0,"Administrative Officer",73665.0,0,0
"plan1457","2c4a7bddc2",4,217076.0,0,"Administrative Officer",54269.0,0,4
"plan1456","6a4de2e638",0,0.0,0,"Software Developer",110372.0,0,0
"plan1455","e5443808db",11,986293.0,0,"Designer",89663.0,0,11
"plan1454","73f19d1c4a",5,402490.0,0,"HR Manager",80498.0,0,5
"plan1453","8875456250",5,300895.0,0,"Project Manager",60179.0,0,5
"plan1452","de0acf86ab",11,1614085.0,0,"Researcher",146735.0,0,11
"plan1451","a35edb7a31",0,0.0,0,"Software Developer",82305.0,0,0
"plan1450","1280c1c56f",8,1139168.0,0,"Head of Marketing and Sales",142396.0,0,8
"plan1449","9549e2a2a5",0,0.0,0,"Secretary",63004.0,0,0
"plan1447","4178a2ba87",0,0.0,0,"Engineer",111788.0,0,0
"plan1446","c625ba1b4b",0,0.0,0,"Analyst",85336.0,0,0
"plan1444","7f46a6d08d",11,1183446.0,0,"Engineer",107586.0,0,11
"plan1443","fe8bf879ef",0,0.0,0,"Analyst",147224.0,0,0
"plan1442","2fa9b78893",0,0.0,0,"Secretary",55177.0,0,0
"plan1441","c020770d99",0,0.0,0,"Head of Marketing and Sales",66686.0,0,0
"plan1439","386eaf0d31",3,409179.0,0,"HR Manager",136393.0,0,3
"plan1438","d6b1b317e0",10,1216840.0,0,"Business Development Manager",121684.0,0,10
"plan1437","7e9b540db8",9,1214964.0,0,"Accountant",134996.0,0,9
"plan1436","5597dc6682",9,1221903.0,0,"Administrative Officer",135767.0,0,9
"plan1435","438533d0d3",6,702210.0,0,"Project Manager",117035.0,0,6
"plan1434","4369ccddc6",8,850232.0,0,"HR Manager",106279.0,0,8
"plan1433","1008ad3ff4",4,583412.0,0,"Analyst",145853.0,0,4
"plan1432","89c875242f",0,0.0,0,"Administrative Officer",59653.0,0,0
"plan1431","f61363f114",0,0.0,0,"Associate",92800.0,0,0
"plan1430","cdd02a5208",4,370556.0,0,"Engineer",92639.0,0,4
"plan1429","f80b032b89",0,0.0,0,"Project Manager",105359.0,0,0
"plan1427","683f4ac6e1",0,0.0,0,"Project Manager",97326.0,0,0
"plan1426","8b979789d4",10,616550.0,0,"Researcher",61655.0,0,10
"plan1425","7dce7f3453",5,284735.0,0,"Engineer",56947.0,0,5
"plan1424","c605a71d90",4,550356.0,0,"Researcher",137589.0,0,4
"plan1423","6576844534",0,0.0,0,"HR Manager",121266.0,0,0
"plan1422","e902de5c0a",0,0.0,0,"Business Development Manager",118727.0,0,0
"plan1421","c1244d4f3b",9,1220328.0,0,"Software Developer",135592.0,0,9
"plan1420","149e544a6f",0,0.0,0,"Researcher",52613.0,0,0
"plan1419","2941db0b72",6,798540.0,0,"Administrative Officer",133090.0,0,6
"plan1418","4f620cb775",10,1281760.0,0,"Designer",128176.0,0,10
"plan1416","7bcf3fe1cf",0,0.0,0,"HR Manager",79891.0,0,0
"plan1415","a55c0de39e",0,0.0,0,"Software Developer",98662.0,0,0
"plan1414","849c39d0e8",0,0.0,0,"Designer",87783.0,0,0
"plan1413","8cefa0533c",0,0.0,0,"Designer",93321.0,0,0
"plan1412","760594124b",4,318348.0,0,"Administrative Officer",79587.0,0,4
"plan1411","ece3a3913a",9,718632.0,0,"Software Developer",79848.0,0,9
"plan1410","400fe5207b",0,0.0,0,"Accountant",59707.0,0,0
"plan1409","5536fa4017",0,0.0,0,"Researcher",99562.0,0,0
"plan1408","2fd78cdb19",0,0.0,0,"HR Manager",71111.0,0,0
"plan1407","9c14a97e65",0,0.0,0,"Administrative Officer",57842.0,0,0
"plan1406","03e300d83c",0,0.0,0,"Analyst",134993.0,0,0
"plan1405","6e09a411e2",0,0.0,0,"Secretary",148315.0,0,0
"plan1404","c697bf3c80",0,0.0,0,"Secretary",67647.0,0,0
"plan1403","8a3ae08442",0,0.0,0,"Software Developer",54964.0,0,0
"plan1402","743598034f",0,0.0,0,"Analyst",132428.0,0,0
"plan1401","344e0a4919",11,1251283.0,0,"Associate",113753.0,0,11
"plan1400","55ede9d367",3,425979.0,0,"Head of Marketing and Sales",141993.0,0,3
"plan1346","0a4ed14805",0,0.0,0,"Engineer",51484.0,0,0
"plan1345","a06e118c25",0,0.0,0,"Administrative Officer",124536.0,0,0
"plan1344","551acd494f",0,0.0,0,"Project Manager",55495.0,0,0
"plan1343","512b13fbdc",0,0.0,0,"Project Manager",124342.0,0,0
"plan1341","dad4838466",0,0.0,0,"Project Manager",98984.0,0,0
"plan1340","7c2ddf236c",6,378060.0,0,"Analyst",63010.0,0,6
"plan1338","1b044f4fa0",10,1192680.0,0,"Associate",119268.0,0,10
"plan1336","3b1fb1ed72",7,634158.0,0,"Researcher",90594.0,0,7
"plan1334","de29f574ce",5,416870.0,0,"Associate",83374.0,0,5
"plan1333","03b9d1fca0",11,1606715.0,0,"Project Manager",146065.0,0,11
"plan1330","600f0cecb7",11,890263.0,0,"Business Development Manager",80933.0,0,11
"plan1329","14a36e5e4c",10,1247670.0,0,"Engineer",124767.0,0,10
"plan1328","64f303d608",9,739818.0,0,"Associate",82202.0,0,9
"plan1327","bda8a965fd",0,0.0,0,"Accountant",54765.0,0,0
"plan1325","c588d5efb2",0,0.0,0,"Accountant",139887.0,0,0
"plan1324","46baea080a",0,0.0,0,"Analyst",128448.0,0,0
"plan1322","105fcc539d",0,0.0,0,"Business Development Manager",52272.0,0,0
"plan1320","fa45776abd",0,0.0,0,"Associate",146546.0,0,0
"plan1318","3384d74889",4,525816.0,0,"Project Manager",131454.0,0,4
"plan1317","e8cdf1c1e2",0,0.0,0,"Project Manager",99546.0,0,0
"plan1315","b3d3019669",7,506793.0,0,"Associate",72399.0,0,7
"plan1314","98b4253af8",8,670080.0,0,"Researcher",83760.0,0,8
"plan1312","a5ccdec06e",9,865935.0,0,"Associate",96215.0,0,9
"plan1311","38fabd4116",0,0.0,0,"Researcher",95932.0,0,0
"plan1310","bd2b984e84",0,0.0,0,"Head of Marketing and Sales",131452.0,0,0
"plan1308","d9c28a1f24",7,408485.0,0,"Researcher",58355.0,0,7
"plan1307","eb62ed2206",9,1334061.0,0,"Secretary",148229.0,0,9
"plan1306","4639b8f678",4,576628.0,0,"Engineer",144157.0,0,4
"plan1305","c1fa48b8f4",5,550695.0,0,"Project Manager",110139.0,0,5
"plan1304","d508ecb70e",0,0.0,0,"Administrative Officer",50744.0,0,0
"plan1303","c029d34a4c",8,467976.0,0,"Software Developer",58497.0,0,8
"plan1301","121358c744",4,482768.0,0,"Head of Marketing and Sales",120692.0,0,4
"plan1300","fc37723f06",9,798255.0,0,"Software Developer",88695.0,0,9
"plan1299","7b4b88ceec",0,0.0,0,"HR Manager",128996.0,0,0
"plan1298","af393283d1",0,0.0,0,"Associate",77188.0,0,0
"plan1297","4e417b138e",10,791170.0,0,"Software Developer",79117.0,0,10
"plan1295","8bd97c9dcc",3,268515.0,0,"Engineer",89505.0,0,3
"plan1294","cede846ebd",2,200050.0,0,"Researcher",100025.0,0,2
"plan1293","fdc54b8984",6,829452.0,0,"HR Manager",138242.0,0,6
"plan1291","a0f760e86f",2,136078.0,0,"Designer",68039.0,0,2
"plan1289","87279535d7",11,1546886.0,0,"Accountant",140626.0,0,11
"plan1288","fc81af569f",7,858081.0,0,"Secretary",122583.0,0,7
"plan1284","662d47104b",3,231927.0,0,"Head of Marketing and Sales",77309.0,0,3
"plan1283","0396c34b1b",0,0.0,0,"Administrative Officer",105754.0,0,0
"plan1282","bb96d7a791",4,551012.0,0,"Software Developer",137753.0,0,4
"plan1280","836bfa118a",11,692560.0,0,"Analyst",62960.0,0,11
"plan1279","faadd4d83d",9,802053.0,0,"HR Manager",89117.0,0,9
"plan1278","f33514134c",5,473350.0,0,"Analyst",94670.0,0,5
"plan1277","06504323ae",0,0.0,0,"Administrative Officer",96891.0,0,0
"plan1276","7d93b8d87c",0,0.0,0,"Accountant",102477.0,0,0
"plan1275","7de42e4457",4,334408.0,0,"Project Manager",83602.0,0,4
"plan1270","0e7ac38dd7",8,484248.0,0,"Engineer",60531.0,0,8
"plan1268","05e0d16aec",9,714375.0,0,"Secretary",79375.0,0,9
"plan1267","4bb909e5dc",3,402957.0,0,"Designer",134319.0,0,3
"plan1265","0b156bca1a",0,0.0,0,"Designer",67148.0,0,0
"plan1264","093935ef44",4,519152.0,0,"Associate",129788.0,0,4
"plan1263","cb09a3ee16",0,0.0,0,"Administrative Officer",137608.0,0,0
"plan1262","6fbd57d6d6",6,430104.0,0,"Administrative Officer",71684.0,0,6
"plan1261","c60d27dc11",0,0.0,0,"Software Developer",69656.0,0,0
"plan1260","e19d734fff",7,920556.0,0,"Secretary",131508.0,0,7
"plan1257","41b5ea7710",9,1060389.0,0,"Analyst",117821.0,0,9
"plan1256","3f15b4bbe0",4,309116.0,0,"Head of Marketing and Sales",77279.0,0,4
"plan1255","20d092f72d",4,434076.0,0,"Head of Marketing and Sales",108519.0,0,4
"plan1254","fd50ea2ebd",7,590415.0,0,"Software Developer",84345.0,0,7
"plan1253","7fe3668e8d",10,630430.0,0,"Designer",63043.0,0,10
"plan1250","8399bd7d13",4,562796.0,0,"Head of Marketing and Sales",140699.0,0,4
"plan1249","ab6216043e",5,664615.0,0,"Engineer",132923.0,0,5
"plan1248","810b2df7d2",7,512309.0,0,"Secretary",73187.0,0,7
"plan1247","c865ebf154",5,406555.0,0,"Business Development Manager",81311.0,0,5
"plan1246","661a09825c",4,527224.0,0,"HR Manager",131806.0,0,4
