"ID","Department","Company","From Date","Total Estimated Budget","To Date","ID (Staffing Plan Detail)"
"plan1956","Research & Development - 113","13company","2039-02-24",934340.0,"2039-06-26","5308746907"
"plan1954","Purchase - 113","13company","2037-10-22",0.0,"2037-10-27","39d3a93cbf"
"plan1953","Human Resources - 1","1company","2038-11-06",0.0,"2038-11-21","4830027c6a"
"plan1952","Management - 117","17company","2038-01-26",0.0,"2038-01-27","1d07e3f0ac"
"plan1951","Human Resources - 8","8company","2039-01-21",879351.0,"2039-02-21","11237f5b9a"
"plan1948","Purchase - 110","10company","2039-02-02",770506.0,"2039-05-18","99680669a7"
"plan1947","Production - 8","8company","2037-02-06",1164015.0,"2037-04-26","00c5852b7d"
"plan1946","Legal - 113","13company","2038-05-05",803370.0,"2038-10-16","11823e3652"
"plan1945","Dispatch - 8","8company","2037-01-01",438189.0,"2037-02-14","42d0cb2794"
"plan1944","Management - 115","15company","2037-06-29",644517.0,"2037-08-29","5121a27731"
"plan1943","Human Resources - 6","6company","2039-01-01",311298.0,"2039-08-19","9cdb5e1508"
"plan1942","Customer Service - 4","4company","2039-02-10",221968.0,"2039-08-16","44ac677f8b"
"plan1941","Quality Management - 3","3company","2037-10-05",0.0,"2037-11-14","aedc93b0bf"
"plan1940","Sales - 116","16company","2039-02-06",280452.0,"2039-06-27","d275b9aae8"
"plan1937","Dispatch - 8","8company","2039-02-15",664960.0,"2039-06-23","d94dd19fd5"
"plan1936","Legal - 114","14company","2038-01-03",221020.0,"2038-05-24","420b4610cd"
"plan1935","Dispatch - 116","16company","2039-05-14",119400.0,"2039-06-25","0572ddea27"
"plan1934","Research & Development - 112","12company","2037-09-07",527255.0,"2037-11-13","65787db087"
"plan1933","Sales - 9","9company","2039-05-28",1323702.0,"2039-08-29","1a3debb2c8"
"plan1932","Operations - 114","14company","2038-11-13",286824.0,"2038-11-27","637bee2d13"
"plan1931","Operations - 114","14company","2037-01-08",0.0,"2037-11-15","8864ac1146"
"plan1929","Production - 6","6company","2038-05-25",0.0,"2038-10-27","03c33be0d9"
"plan1928","Management - 2","2company","2039-01-28",323760.0,"2039-11-29","06b032c9f4"
"plan1926","Legal - 113","13company","2039-01-17",482980.0,"2039-06-27","ae51244b62"
"plan1925","Customer Service - 4","4company","2039-09-10",282936.0,"2039-11-20","856b80facd"
"plan1924","Marketing - 9","9company","2038-04-11",0.0,"2038-04-29","37d6632b0f"
"plan1922","Dispatch - 3","3company","2039-11-07",251008.0,"2039-11-13","c13303c50d"
"plan1921","Sales - 115","15company","2039-03-04",386984.0,"2039-09-15","11f5045355"
"plan1920","Marketing - 116","16company","2037-01-24",921522.0,"2037-02-28","f2d4722ea6"
"plan1919","Human Resources - 114","14company","2039-08-18",1038772.0,"2039-09-23","a4afeef3d4"
"plan1918","Operations - 5","5company","2039-09-15",325812.0,"2039-11-19","e3c24e4376"
"plan1917","Purchase - 7","7company","2039-11-14",0.0,"2039-11-28","3883501f52"
"plan1916","Dispatch - 113","13company","2037-06-20",0.0,"2037-07-29","ef7a8eeb94"
"plan1915","Operations - 114","14company","2037-03-18",0.0,"2037-07-28","d69e19a880"
"plan1913","Management - 5","5company","2039-03-22",307695.0,"2039-09-29","ec4dcbb8c8"
"plan1912","Marketing - 115","15company","2039-03-27",0.0,"2039-08-28","8e4f23247e"
"plan1911","Purchase - 7","7company","2038-05-10",0.0,"2038-05-23","1fdc1fe4e7"
"plan1908","","11company","2039-03-12",666426.0,"2039-11-15","4121b1a861"
"plan1907","Customer Service - 117","17company","2039-08-17",216204.0,"2039-10-25","5ab7409c75"
"plan1906","Human Resources - 5","5company","2038-06-16",0.0,"2038-06-21","cb233182c8"
"plan1905","Human Resources - 117","17company","2038-09-08",0.0,"2038-10-29","e95b692585"
"plan1904","","11company","2038-11-27",0.0,"2038-11-27","8687053843"
"plan1902","Production - 2","2company","2038-11-13",487996.0,"2038-11-24","356f5e90d6"
"plan1901","Purchase - 117","17company","2038-09-17",635688.0,"2038-10-24","20e8baf993"
"plan1899","Research & Development - 1","1company","2038-07-06",0.0,"2038-07-16","1a60e9269b"
"plan1897","Quality Management - 5","5company","2038-11-19",355768.0,"2038-11-23","f2bbdc5c96"
"plan1896","Marketing - 1","1company","2038-08-20",259816.0,"2038-09-23","29c0fb6078"
"plan1894","Quality Management - 115","15company","2039-04-26",914481.0,"2039-09-29","9286067057"
"plan1893","Dispatch - 9","9company","2037-04-20",675985.0,"2038-07-22","5477beb577"
"plan1891","Human Resources - 110","10company","2037-08-18",1346554.0,"2038-09-22","ec8e3b82c4"
"plan1890","Management - 8","8company","2037-07-28",866772.0,"2038-11-29","7ba6ddacd3"
"plan1889","Research & Development - 114","14company","2037-03-18",1274603.0,"2038-07-20","dd85a16fbb"
"plan1887","Dispatch - 110","10company","2038-10-15",0.0,"2038-10-17","09a7188a8e"
"plan1885","Marketing - 115","15company","2038-05-15",847240.0,"2038-05-24","57347aa667"
"plan1884","Purchase - 112","12company","2037-07-10",317400.0,"2037-08-27","1771d1b6f4"
"plan1883","","11company","2038-03-29",905331.0,"2038-08-29","964b762e2b"
"plan1882","Dispatch - 115","15company","2039-11-27",1592558.0,"2039-11-28","7dbd5e0577"
"plan1881","Purchase - 115","15company","2038-09-10",237732.0,"2038-11-23","b4809c3529"
"plan1880","Quality Management - 3","3company","2039-06-01",175112.0,"2039-10-24","931c7dfc34"
"plan1879","Operations - 116","16company","2039-11-17",1005753.0,"2039-11-20","3ce066d12c"
"plan1878","Operations - 118","18company","2038-06-06",1019977.0,"2038-08-19","6846e871d0"
"plan1877","Customer Service - 2","2company","2037-11-10",0.0,"2037-11-14","912089aee6"
"plan1875","Marketing - 115","15company","2039-05-28",0.0,"2039-10-28","7f49247095"
"plan1874","Customer Service - 1","1company","2039-02-16",0.0,"2039-05-17","71d72980f7"
"plan1873","Purchase - 8","8company","2039-09-16",175870.0,"2039-10-23","dc0beb4769"
"plan1871","Human Resources - 116","16company","2038-09-06",853824.0,"2038-10-29","545748695d"
"plan1870","Operations - 6","6company","2039-06-09",0.0,"2039-09-15","d67013f10c"
"plan1869","Operations - 113","13company","2037-08-23",0.0,"2037-11-29","91423cf9c0"
"plan1868","Production - 113","13company","2038-01-28",396519.0,"2038-08-28","0af5797e3a"
"plan1867","Customer Service - 5","5company","2038-08-22",145718.0,"2038-09-29","f231fedf2f"
"plan1866","Dispatch - 5","5company","2037-08-12",1025400.0,"2037-10-20","718b8d85dd"
"plan1865","Marketing - 1","1company","2039-03-21",561762.0,"2039-08-22","dc80da759e"
"plan1864","Management - 110","10company","2037-07-29",1127034.0,"2037-11-29","3b93872f87"
"plan1863","","11company","2037-01-11",1447460.0,"2037-03-19","da68690211"
"plan1862","Management - 115","15company","2039-09-26",0.0,"2039-10-27","56f9bea8b1"
"plan1861","Customer Service - 9","9company","2038-06-01",257116.0,"2038-09-22","bda6e709fb"
"plan1859","Customer Service - 116","16company","2037-08-27",0.0,"2038-09-28","d339779343"
"plan1858","Operations - 3","3company","2037-01-25",539406.0,"2037-01-28","2388c462c9"
"plan1857","Operations - 1","1company","2039-06-05",0.0,"2039-07-21","5e6164a8f8"
"plan1855","Dispatch - 3","3company","2039-07-09",163242.0,"2039-11-15","979ae79975"
"plan1854","Quality Management - 6","6company","2037-08-22",758403.0,"2037-10-27","46f6966198"
"plan1853","Customer Service - 110","10company","2037-09-19",371124.0,"2037-11-24","40bd6987f2"
"plan1852","Operations - 4","4company","2037-06-15",624734.0,"2038-08-21","0a137287be"
"plan1851","Dispatch - 110","10company","2039-01-01",706245.0,"2039-05-08","1c443632f3"
"plan1850","Research & Development - 117","17company","2039-01-16",0.0,"2039-03-28","33d82751ec"
"plan1848","Purchase - 7","7company","2038-08-14",428484.0,"2038-10-18","6364657bb7"
"plan1847","Purchase - 8","8company","2039-07-10",0.0,"2039-11-27","b9b2665b5f"
"plan1846","Quality Management - 118","18company","2037-09-11",1073232.0,"2037-11-19","a12905a6b9"
"plan1845","Human Resources - 115","15company","2039-06-01",660714.0,"2039-10-19","fe58e88766"
"plan1844","Marketing - 3","3company","2038-11-13",262712.0,"2038-11-13","4e831c22a4"
"plan1843","Purchase - 6","6company","2039-11-25",0.0,"2039-11-25","92d95e7e64"
"plan1840","Human Resources - 117","17company","2039-03-26",257946.0,"2039-07-29","e7cf5af17a"
"plan1839","Purchase - 2","2company","2039-07-27",0.0,"2039-10-27","24b019d357"
"plan1837","Customer Service - 114","14company","2038-09-27",0.0,"2038-09-29","8ab411701a"
"plan1836","Marketing - 3","3company","2039-09-25",975702.0,"2039-09-27","ed0d82d061"
"plan1835","Marketing - 115","15company","2038-06-27",432363.0,"2038-06-28","ee3064ba95"
"plan1834","","11company","2038-07-24",575088.0,"2038-08-29","672e82910a"
"plan1833","Sales - 8","8company","2038-10-05",259178.0,"2038-10-15","059fbb189d"
"plan1832","Sales - 2","2company","2039-05-29",0.0,"2039-08-29","f6be29552d"
"plan1831","Customer Service - 5","5company","2038-07-09",1020420.0,"2038-10-09","2ad03f87cc"
"plan1830","Customer Service - 1","1company","2037-02-16",429051.0,"2038-04-29","eb73e42c88"
"plan1829","Sales - 118","18company","2038-11-28",0.0,"2038-11-29","0bd4cf7890"
"plan1828","Marketing - 116","16company","2039-02-01",0.0,"2039-06-11","378b90530b"
"plan1826","Research & Development - 8","8company","2039-02-08",0.0,"2039-04-24","0e71057922"
"plan1824","Production - 113","13company","2039-05-16",0.0,"2039-08-29","cd332781b4"
"plan1823","Research & Development - 118","18company","2038-11-16",0.0,"2038-11-24","22f14cd315"
"plan1822","Legal - 5","5company","2038-10-16",0.0,"2038-11-18","e080fe02f9"
"plan1821","Sales - 9","9company","2037-10-22",884079.0,"2038-10-22","7f4a78455f"
"plan1820","Human Resources - 7","7company","2038-04-22",1337501.0,"2038-09-27","cc4ab475cd"
"plan1819","Customer Service - 3","3company","2038-03-08",275427.0,"2038-03-17","7e9d583596"
"plan1818","Human Resources - 6","6company","2038-01-20",618639.0,"2038-09-27","2341e5b938"
"plan1817","Dispatch - 116","16company","2038-03-12",0.0,"2038-09-12","096b529c8a"
"plan1816","Research & Development - 3","3company","2037-05-27",371040.0,"2037-08-29","9332327113"
"plan1815","Research & Development - 110","10company","2039-08-22",232448.0,"2039-11-27","8bd7d072b3"
"plan1814","Legal - 7","7company","2039-06-23",1056240.0,"2039-11-28","aa691a980c"
"plan1813","Operations - 112","12company","2037-03-18",0.0,"2038-04-26","6af88f39a6"
"plan1812","Legal - 4","4company","2039-08-21",120616.0,"2039-08-21","c5774cea34"
"plan1811","Quality Management - 7","7company","2038-01-24",624360.0,"2038-08-24","14393abb2e"
"plan1809","Sales - 110","10company","2038-06-21",0.0,"2038-06-28","e2e00bcfc0"
"plan1807","Management - 114","14company","2039-05-02",502648.0,"2039-06-26","fd649eda81"
"plan1806","Purchase - 110","10company","2037-02-02",0.0,"2037-06-23","a5ef5e32cc"
"plan1805","Customer Service - 3","3company","2039-07-18",566190.0,"2039-08-27","106eae96b3"
"plan1803","Operations - 117","17company","2037-01-12",0.0,"2037-06-23","ec06b1c701"
"plan1802","Quality Management - 2","2company","2038-02-26",0.0,"2038-06-28","ec476ae526"
"plan1801","Operations - 6","6company","2039-04-24",691371.0,"2039-09-27","674d3d1391"
"plan1800","","11company","2038-08-28",454905.0,"2038-11-29","7a523016da"
"plan1799","Operations - 6","6company","2035-10-08",341768.0,"2036-11-16","a1b294f6c4"
"plan1798","Marketing - 2","2company","2037-05-25",691101.0,"2037-05-29","113d47904b"
"plan1797","Human Resources - 5","5company","2036-01-12",293560.0,"2036-05-17","1b35a9cfc3"
"plan1795","Human Resources - 8","8company","2037-10-14",520128.0,"2037-11-14","03a6c6e936"
"plan1794","Sales - 2","2company","2037-10-11",0.0,"2037-11-20","f255b7d386"
"plan1793","Customer Service - 9","9company","2036-02-23",637140.0,"2036-11-24","05ab0b767b"
"plan1790","Human Resources - 6","6company","2037-05-15",356775.0,"2037-11-18","5acc2d4843"
"plan1789","Sales - 110","10company","2036-08-11",1169982.0,"2036-09-16","a259d7b358"
"plan1788","Research & Development - 116","16company","2036-02-02",237758.0,"2036-04-12","02628d6838"
"plan1787","Marketing - 112","12company","2035-10-15",0.0,"2036-11-24","ae5b0d5de1"
"plan1786","Customer Service - 4","4company","2035-04-25",0.0,"2035-04-28","bd1d939741"
"plan1784","Customer Service - 110","10company","2036-11-29",677418.0,"2036-11-29","e3b40dc019"
"plan1782","Quality Management - 1","1company","2035-06-10",180087.0,"2035-08-27","acae56f9ca"
"plan1781","Purchase - 8","8company","2035-09-02",362502.0,"2035-11-05","a569400145"
"plan1780","Legal - 116","16company","2036-09-10",0.0,"2036-10-11","1dab41c626"
"plan1779","Customer Service - 8","8company","2037-10-20",934072.0,"2037-10-25","24ed3d65a2"
"plan1776","Dispatch - 8","8company","2036-11-28",861448.0,"2036-11-28","a1b2c97f7c"
"plan1775","Operations - 115","15company","2037-07-07",0.0,"2037-10-11","41f106ba8e"
"plan1774","Customer Service - 116","16company","2036-06-23",503784.0,"2036-09-24","9ec64b7d01"
"plan1773","Operations - 5","5company","2037-07-12",686708.0,"2037-07-13","3d3efdad46"
"plan1771","Sales - 2","2company","2036-04-14",439362.0,"2036-10-29","05cb622ad4"
"plan1770","Human Resources - 115","15company","2035-11-01",540728.0,"2035-11-22","0d7b2151c1"
"plan1769","Sales - 4","4company","2037-10-01",1040578.0,"2037-10-13","ede6e815dc"
"plan1768","Purchase - 2","2company","2036-01-01",944028.0,"2036-07-20","0ddb44b118"
"plan1767","Customer Service - 112","12company","2036-11-14",636361.0,"2036-11-19","9302f3c503"
"plan1761","Production - 114","14company","2037-06-04",609012.0,"2037-08-27","0f7ea251a2"
"plan1760","Research & Development - 7","7company","2036-08-06",840840.0,"2036-11-17","fdcdb13914"
"plan1759","Marketing - 114","14company","2036-01-23",0.0,"2036-02-29","ed745bb665"
"plan1758","Operations - 118","18company","2035-05-22",0.0,"2036-11-26","5622d11e0d"
"plan1754","Research & Development - 114","14company","2036-07-29",240608.0,"2036-10-29","50a19afef9"
"plan1751","Research & Development - 5","5company","2036-02-10",229186.0,"2036-08-22","5e72af1db6"
"plan1750","Marketing - 2","2company","2035-05-23",1066392.0,"2035-10-23","8262b2d287"
"plan1749","Human Resources - 9","9company","2036-01-19",0.0,"2036-03-21","f636d82653"
"plan1748","Dispatch - 116","16company","2035-01-18",305688.0,"2035-02-27","1b5c16de11"
"plan1746","Dispatch - 7","7company","2037-11-09",0.0,"2037-11-13","eec520dd4a"
"plan1745","Human Resources - 112","12company","2035-09-04",0.0,"2036-09-11","9af0c36424"
"plan1740","Sales - 2","2company","2036-10-07",324335.0,"2036-11-19","37836cbea5"
"plan1739","Human Resources - 114","14company","2036-06-22",0.0,"2036-07-23","7daadc0c54"
"plan1738","Dispatch - 114","14company","2036-10-14",0.0,"2036-10-17","aff1e5d552"
"plan1734","","11company","2037-09-10",0.0,"2037-10-17","08c0585919"
"plan1732","Customer Service - 9","9company","2036-03-22",1127048.0,"2036-07-24","8a9bbe50ca"
"plan1730","Human Resources - 112","12company","2037-03-26",218680.0,"2037-03-29","9cec67e3d3"
"plan1729","Quality Management - 9","9company","2035-03-29",542199.0,"2035-06-29","7141a4361f"
"plan1728","Dispatch - 7","7company","2037-09-09",1030512.0,"2037-09-24","9d9b2c2e10"
"plan1724","Dispatch - 117","17company","2036-04-16",0.0,"2036-09-22","87a72b1f2b"
"plan1723","Purchase - 112","12company","2035-09-16",856471.0,"2035-11-18","023150894d"
"plan1721","Quality Management - 3","3company","2036-03-13",1186160.0,"2036-03-14","0c6ec549d0"
"plan1719","Dispatch - 116","16company","2037-02-05",0.0,"2037-04-27","34188c338d"
"plan1718","Operations - 2","2company","2036-08-08",710140.0,"2036-09-15","7aa1cce6df"
"plan1716","Quality Management - 2","2company","2036-09-05",241866.0,"2036-10-17","6ded4a37bf"
"plan1715","Production - 117","17company","2037-09-27",174342.0,"2037-11-28","2910f30884"
"plan1713","Legal - 6","6company","2035-06-17",580945.0,"2035-10-18","39886d9574"
"plan1712","Research & Development - 116","16company","2037-01-20",0.0,"2037-04-23","9d2d6d72f0"
"plan1711","Human Resources - 4","4company","2037-09-06",1157096.0,"2037-09-23","661fe86ec9"
"plan1708","Human Resources - 114","14company","2035-11-14",179158.0,"2036-11-21","263d1cf57c"
"plan1707","Sales - 117","17company","2036-05-12",0.0,"2036-05-14","cca801ec40"
"plan1699","Purchase - 8","8company","2037-03-14",234908.0,"2037-07-18","626ace28bc"
"plan1698","","11company","2036-03-21",604248.0,"2036-03-26","8caf52bb87"
"plan1696","Research & Development - 9","9company","2037-03-11",443219.0,"2037-06-24","63c03f4008"
"plan1695","","11company","2037-07-06",0.0,"2037-08-24","dca37f40ac"
"plan1694","","11company","2036-03-17",439446.0,"2036-09-22","87fcc8020a"
"plan1692","Research & Development - 2","2company","2037-06-26",0.0,"2037-08-29","9f64c861bf"
"plan1691","Operations - 5","5company","2037-09-17",0.0,"2037-11-26","9877f78699"
"plan1690","Quality Management - 8","8company","2037-01-07",1153917.0,"2037-05-15","cf9fd5cf68"
"plan1689","Purchase - 7","7company","2037-09-09",0.0,"2037-10-10","b42e7efbab"
"plan1688","Dispatch - 116","16company","2036-02-03",0.0,"2036-08-13","487540acf5"
"plan1687","Research & Development - 118","18company","2037-10-25",0.0,"2037-11-26","c398e34e32"
"plan1685","Marketing - 2","2company","2036-07-04",521712.0,"2036-08-12","4bb883425b"
"plan1684","Operations - 7","7company","2037-05-26",0.0,"2037-09-29","90af97c066"
"plan1683","Sales - 110","10company","2035-08-29",798385.0,"2035-10-29","cc11a58d64"
"plan1682","Operations - 113","13company","2035-07-22",708910.0,"2035-07-28","caf6a288b7"
"plan1678","Customer Service - 115","15company","2036-03-09",0.0,"2036-05-21","b85b5ee68d"
"plan1677","Research & Development - 5","5company","2036-11-21",331784.0,"2036-11-27","bcea395e31"
"plan1676","Marketing - 5","5company","2036-04-27",0.0,"2036-11-29","a11d4921f8"
"plan1674","Marketing - 9","9company","2035-02-13",0.0,"2036-08-26","c70f87df86"
"plan1673","Operations - 3","3company","2036-10-22",394260.0,"2036-11-27","2a81104985"
"plan1672","Human Resources - 112","12company","2035-05-02",0.0,"2035-10-06","3b66711431"
"plan1671","Marketing - 6","6company","2035-10-01",0.0,"2035-10-06","384f6c8952"
"plan1670","Marketing - 8","8company","2037-04-09",202092.0,"2037-10-28","d73b819d1a"
"plan1669","Management - 115","15company","2036-07-08",0.0,"2036-11-12","e9aed629b2"
"plan1668","Research & Development - 113","13company","2037-07-23",611702.0,"2037-09-28","c70f75e70e"
"plan1667","Management - 118","18company","2037-11-08",0.0,"2037-11-22","5e57153536"
"plan1666","Human Resources - 3","3company","2035-04-12",909056.0,"2035-04-12","a6b0cea8f4"
"plan1665","","11company","2036-07-20",0.0,"2036-07-27","505fbdb081"
"plan1662","Sales - 2","2company","2037-09-26",1333409.0,"2037-11-27","b99f7a143e"
"plan1612","Legal - 5","5company","2036-04-25",0.0,"2036-08-25","82430624c0"
"plan1611","Marketing - 117","17company","2036-11-08",0.0,"2036-11-17","6ed4449990"
"plan1608","Dispatch - 114","14company","2035-11-29",1023370.0,"2035-11-29","e1d102a663"
"plan1607","Production - 3","3company","2036-06-28",556090.0,"2036-08-29","5dde3a4ff1"
"plan1606","Operations - 6","6company","2036-05-29",199617.0,"2036-11-29","d5fd4081b5"
"plan1605","Legal - 112","12company","2037-10-25",452934.0,"2037-11-26","3c587937e8"
"plan1604","Management - 118","18company","2037-09-26",1032141.0,"2037-11-28","0c79e7bfdc"
"plan1603","Quality Management - 110","10company","2036-06-25",0.0,"2036-08-27","546fdfffa6"
"plan1602","Purchase - 8","8company","2036-02-04",204582.0,"2036-10-15","fa12d7ac43"
"plan1601","Customer Service - 2","2company","2037-07-16",0.0,"2037-11-24","cedf973042"
"plan1599","Purchase - 7","7company","2036-07-15",197976.0,"2036-09-15","5edd011381"
"plan1598","Purchase - 1","1company","2035-02-04",222164.0,"2035-07-15","78ed145ce5"
"plan1596","Customer Service - 110","10company","2035-04-25",0.0,"2035-05-25","c5b4d550ab"
"plan1595","Customer Service - 112","12company","2036-02-13",0.0,"2036-07-13","7d29a12808"
"plan1593","Sales - 113","13company","2035-10-07",0.0,"2035-11-13","2f867f4a3f"
"plan1592","Marketing - 112","12company","2036-10-24",251712.0,"2036-11-28","5952ddd1d3"
"plan1591","Legal - 114","14company","2036-08-24",242188.0,"2036-11-27","f084d8b291"
"plan1589","Dispatch - 117","17company","2037-08-04",268540.0,"2037-09-15","94ab7dde76"
"plan1588","Operations - 6","6company","2037-03-26",815766.0,"2037-07-26","0d5447ebf9"
"plan1587","Sales - 2","2company","2036-07-14",526600.0,"2036-11-18","bd91a10947"
"plan1586","Production - 1","1company","2037-08-24",585298.0,"2037-09-28","9748e7681d"
"plan1585","Human Resources - 6","6company","2035-04-23",879285.0,"2035-09-23","b00f020a93"
"plan1584","Dispatch - 118","18company","2037-11-04",368634.0,"2037-11-06","d7fe43aed1"
"plan1581","Legal - 1","1company","2036-02-12",0.0,"2036-03-24","60590eca87"
"plan1580","Customer Service - 6","6company","2036-06-15",673617.0,"2036-06-18","60e9d3c2d7"
"plan1578","Marketing - 1","1company","2037-05-04",529240.0,"2037-07-25","5f48101603"
"plan1577","Sales - 110","10company","2036-11-28",240018.0,"2036-11-29","5978c87355"
"plan1576","Management - 115","15company","2037-10-13",158898.0,"2037-11-26","1ddd6223c3"
"plan1575","Dispatch - 6","6company","2037-04-22",1074264.0,"2037-05-23","5b853d0653"
"plan1572","Dispatch - 112","12company","2037-11-25",0.0,"2037-11-25","ca2cc59504"
"plan1567","Customer Service - 113","13company","2036-03-03",0.0,"2036-11-17","45c58a5e6d"
"plan1566","Quality Management - 114","14company","2037-04-10",0.0,"2037-07-10","e62025e23f"
"plan1564","Quality Management - 113","13company","2035-05-16",0.0,"2035-09-23","6eff7d3350"
"plan1563","Dispatch - 112","12company","2036-08-22",519900.0,"2036-11-23","df6108fd05"
"plan1561","Marketing - 118","18company","2037-02-01",449862.0,"2037-03-20","27b71e54cd"
"plan1560","Sales - 2","2company","2035-11-20",175869.0,"2035-11-26","06c0b62cc3"
"plan1559","Dispatch - 1","1company","2037-07-19",0.0,"2037-10-26","b450318086"
"plan1558","Marketing - 112","12company","2037-10-23",1277811.0,"2037-11-26","91f4521719"
"plan1556","Research & Development - 116","16company","2037-06-21",0.0,"2037-11-24","8c2e3399a2"
"plan1553","Operations - 113","13company","2037-02-03",373851.0,"2037-11-18","0674058b8e"
"plan1552","Sales - 7","7company","2036-10-27",0.0,"2036-10-29","b0d22e9440"
"plan1551","Purchase - 9","9company","2036-06-20",585440.0,"2036-07-24","4cfa69d685"
"plan1549","Production - 4","4company","2036-05-16",399276.0,"2036-11-23","734d2eb964"
"plan1548","Dispatch - 4","4company","2036-11-22",1230537.0,"2036-11-24","102cbf4c96"
"plan1547","Production - 116","16company","2036-06-28",0.0,"2036-06-29","441f357521"
"plan1545","","11company","2036-08-01",453984.0,"2036-11-16","fdf438027b"
"plan1544","Customer Service - 4","4company","2035-04-05",0.0,"2036-06-06","3cd3d00fc9"
"plan1542","Production - 3","3company","2036-11-14",741216.0,"2036-11-28","b84ca35c88"
"plan1540","Operations - 114","14company","2036-01-17",515820.0,"2036-10-27","34365637f2"
"plan1539","Marketing - 112","12company","2037-01-17",415544.0,"2037-09-18","d60ebef1ec"
"plan1538","Sales - 5","5company","2036-01-03",685107.0,"2036-06-29","d4c966b78e"
"plan1537","Marketing - 2","2company","2035-08-03",183234.0,"2036-11-22","bdd28b88f0"
"plan1536","Human Resources - 118","18company","2036-01-26",551656.0,"2036-05-26","eb9922d597"
"plan1535","Legal - 112","12company","2036-06-19",503640.0,"2036-09-19","52e092a942"
"plan1534","Sales - 115","15company","2037-10-05",767970.0,"2037-11-18","8bbf153bea"
"plan1533","Purchase - 118","18company","2037-11-23",0.0,"2037-11-28","4ccf01446e"
"plan1532","Research & Development - 115","15company","2037-06-16",0.0,"2037-06-25","2375d5a8bb"
"plan1530","Legal - 118","18company","2036-09-08",264415.0,"2036-11-09","c500983e45"
"plan1529","Production - 8","8company","2037-11-26",252805.0,"2037-11-29","2ceb1ff9f3"
"plan1528","Marketing - 115","15company","2035-06-03",0.0,"2035-09-26","8a10cbe9ef"
"plan1527","Human Resources - 117","17company","2035-09-09",0.0,"2036-09-15","8a11237cc6"
"plan1525","Marketing - 2","2company","2037-08-27",0.0,"2037-09-27","5e002fd2d0"
"plan1524","Research & Development - 116","16company","2037-07-14",0.0,"2037-09-26","33559db0a6"
"plan1522","Purchase - 117","17company","2035-01-27",0.0,"2035-06-28","47d0da536d"
"plan1521","Customer Service - 6","6company","2035-11-07",156486.0,"2035-11-25","c86b4fb1f8"
"plan1520","Research & Development - 114","14company","2035-01-06",466105.0,"2035-03-27","10661d322d"
"plan1519","Research & Development - 113","13company","2037-08-09",646488.0,"2037-10-17","6da3f1b964"
"plan1518","Sales - 117","17company","2037-07-02",369432.0,"2037-08-10","98e1d5eb20"
"plan1517","Research & Development - 4","4company","2036-08-18",871965.0,"2036-11-19","da26a51cb8"
"plan1516","Production - 8","8company","2036-05-16",297234.0,"2036-07-23","7ae8fd4fb6"
"plan1515","Customer Service - 9","9company","2037-06-25",222639.0,"2037-10-27","c0ce788a55"
"plan1514","","11company","2035-11-29",1030865.0,"2036-11-29","bc7bb10eec"
"plan1512","","11company","2036-03-10",294456.0,"2036-06-27","5d6d697347"
"plan1511","Management - 116","16company","2036-03-11",279988.0,"2036-10-22","dfc0170d75"
"plan1510","Legal - 1","1company","2036-08-08",938539.0,"2036-11-12","860c250d4e"
"plan1509","Marketing - 6","6company","2036-02-06",177244.0,"2036-08-19","e4e5bdaffe"
"plan1508","Human Resources - 7","7company","2036-10-18",1334267.0,"2036-10-21","839514b1eb"
"plan1506","Operations - 3","3company","2036-11-21",739720.0,"2036-11-26","fdcc6db221"
"plan1504","Marketing - 117","17company","2035-04-09",227924.0,"2036-08-20","a78786d50a"
"plan1503","Management - 116","16company","2035-10-28",0.0,"2036-11-28","d4304e1b54"
"plan1501","Customer Service - 110","10company","2035-02-18",0.0,"2036-06-22","cfb74931bf"
"plan1500","Legal - 117","17company","2037-05-20",0.0,"2037-08-22","4218a331c8"
"plan1498","Purchase - 8","8company","2036-10-23",0.0,"2036-10-28","9fa7f1a2fa"
"plan1497","Customer Service - 3","3company","2037-01-03",273831.0,"2037-03-25","27d1718f42"
"plan1496","Operations - 7","7company","2036-05-06",0.0,"2036-08-18","79be56ca0a"
"plan1495","Legal - 1","1company","2035-05-04",447000.0,"2036-09-06","4d9a2f71fc"
"plan1494","","11company","2037-03-18",549570.0,"2037-03-18","43fae29098"
"plan1493","Legal - 2","2company","2037-11-21",0.0,"2037-11-22","dd4562aa63"
"plan1491","Research & Development - 118","18company","2035-11-23",175720.0,"2035-11-26","8c7ff9dda2"
"plan1490","Production - 118","18company","2036-03-15",463776.0,"2036-11-18","d4a9e0d288"
"plan1489","Production - 114","14company","2036-01-20",0.0,"2036-10-26","b10e2e07bc"
"plan1488","Purchase - 113","13company","2036-02-15",599860.0,"2036-08-22","9808aaa6bb"
"plan1487","Quality Management - 3","3company","2035-02-01",555258.0,"2036-07-26","3b30940f10"
"plan1486","Legal - 2","2company","2036-03-22",0.0,"2036-05-29","91f7a3195e"
"plan1485","Research & Development - 9","9company","2036-04-27",1250095.0,"2036-06-27","1dbaa36085"
"plan1483","Sales - 1","1company","2037-03-06",0.0,"2037-07-27","c249802fc1"
"plan1482","Operations - 5","5company","2036-09-14",341274.0,"2036-10-20","d6c7b32897"
"plan1481","Research & Development - 2","2company","2036-06-10",0.0,"2036-07-18","e1ef68c262"
