"ID","ID (Staffing Plan Detail)","Vacancies (Staffing Plan Detail)","Total Estimated Cost (Staffing Plan Detail)","Designation (Staffing Plan Detail)","Estimated Cost Per Position (Staffing Plan Detail)","Current Count (Staffing Plan Detail)","Number Of Positions (Staffing Plan Detail)","Current Openings (Staffing Plan Detail)"
"plan3537","d6cc5cda39",0,0.0,"Analyst",135251.0,0,0,0
"plan3536","9ba895dfbc",0,0.0,"Business Development Manager",86767.0,0,0,0
"plan3534","aa7b493129",0,0.0,"HR Manager",105942.0,0,0,0
"plan3533","ae1abaeaf2",8,1004328.0,"Software Developer",125541.0,0,8,0
"plan3532","93ed859c9b",6,874056.0,"Accountant",145676.0,0,6,0
"plan3531","492eb2ec79",4,546680.0,"Researcher",136670.0,0,4,0
"plan3530","14ccd5be5d",9,516690.0,"Associate",57410.0,0,9,0
"plan3529","bc9b6ba4ce",0,0.0,"Head of Marketing and Sales",64410.0,0,0,0
"plan3527","b1559c8e17",0,0.0,"Accountant",82409.0,0,0,0
"plan3526","9492adf179",0,0.0,"Accountant",110508.0,0,0,0
"plan3525","c418c6ada9",0,0.0,"Software Developer",59580.0,0,0,0
"plan3524","14a6f34ff2",0,0.0,"Designer",57301.0,0,0,0
"plan3523","9201977f35",0,0.0,"Secretary",54892.0,0,0,0
"plan3522","e925a9b7d2",3,302820.0,"Administrative Officer",100940.0,0,3,0
"plan3521","6073c29f95",4,253620.0,"Engineer",63405.0,0,4,0
"plan3520","7b0d28d1f0",0,0.0,"Software Developer",87500.0,0,0,0
"plan3519","77f92774a6",0,0.0,"Business Development Manager",61370.0,0,0,0
"plan3518","b77d934712",0,0.0,"Software Developer",110492.0,0,0,0
"plan3517","4cde2b6570",0,0.0,"Engineer",107290.0,0,0,0
"plan3516","43925099c0",0,0.0,"Accountant",131502.0,0,0,0
"plan3515","c4f5831092",0,0.0,"Head of Marketing and Sales",144300.0,0,0,0
"plan3514","bb8d0e3293",0,0.0,"Head of Marketing and Sales",111642.0,0,0,0
"plan3513","336ecd12d8",0,0.0,"Analyst",111134.0,0,0,0
"plan3512","978d0b8189",0,0.0,"Analyst",136025.0,0,0,0
"plan3511","92723f4ff7",0,0.0,"Administrative Officer",97374.0,0,0,0
"plan3510","e34b41162a",0,0.0,"Researcher",99273.0,0,0,0
"plan3509","bdb704f800",9,475029.0,"Software Developer",52781.0,0,9,0
"plan3508","8911bb4c9d",0,0.0,"Associate",88452.0,0,0,0
"plan3507","04bc92b817",10,942460.0,"Business Development Manager",94246.0,0,10,0
"plan3506","5147517df9",0,0.0,"Engineer",99656.0,0,0,0
"plan3505","98c8877a8a",0,0.0,"Analyst",127710.0,0,0,0
"plan3504","35102af7f7",0,0.0,"Project Manager",85688.0,0,0,0
"plan3503","e2756e30d3",0,0.0,"Business Development Manager",72124.0,0,0,0
"plan3502","ed6ed1f033",0,0.0,"Engineer",146189.0,0,0,0
"plan3501","dee376c70b",0,0.0,"Associate",103620.0,0,0,0
"plan3499","3d113916cb",0,0.0,"Head of Marketing and Sales",86689.0,0,0,0
"plan3495","8872997286",0,0.0,"HR Manager",137245.0,0,0,0
"plan3494","03865bc1d2",0,0.0,"Researcher",87920.0,0,0,0
"plan3492","4483306376",4,331736.0,"Software Developer",82934.0,0,4,0
"plan3490","03a6070ef7",9,842805.0,"Head of Marketing and Sales",93645.0,0,9,0
"plan3489","d1ed24e725",0,0.0,"Designer",90466.0,0,0,0
"plan3488","7440c77d84",0,0.0,"Accountant",111773.0,0,0,0
"plan3486","f9760ac9f9",0,0.0,"Head of Marketing and Sales",129587.0,0,0,0
"plan3484","190ebd99aa",0,0.0,"Business Development Manager",145062.0,0,0,0
"plan3483","28f0a61bd7",0,0.0,"Administrative Officer",145784.0,0,0,0
"plan3481","acd349d208",4,580428.0,"Engineer",145107.0,0,4,0
"plan3480","b6cb9604b8",0,0.0,"Administrative Officer",108046.0,0,0,0
"plan3479","8b9efa2818",0,0.0,"Head of Marketing and Sales",61855.0,0,0,0
"plan3478","0558dc4517",0,0.0,"Administrative Officer",95461.0,0,0,0
"plan3475","8dd96361b0",6,834792.0,"Associate",139132.0,0,6,0
"plan3474","598298a0a1",3,413271.0,"Accountant",137757.0,0,3,0
"plan3473","3a3b4961e9",11,557964.0,"Secretary",50724.0,0,11,0
"plan3472","7000dbe90b",5,580060.0,"Project Manager",116012.0,0,5,0
"plan3471","020b92e0a1",0,0.0,"Designer",90896.0,0,0,0
"plan3470","7dfdda23c0",0,0.0,"Administrative Officer",137328.0,0,0,0
"plan3469","49f959ca02",0,0.0,"Designer",80919.0,0,0,0
"plan3466","14e81c4a5d",0,0.0,"Business Development Manager",99628.0,0,0,0
"plan3462","c112f3be74",0,0.0,"Engineer",55165.0,0,0,0
"plan3461","4b9c0207ae",0,0.0,"Secretary",97384.0,0,0,0
"plan3460","d7156bf558",5,738980.0,"Accountant",147796.0,0,5,0
"plan3457","3d72eb637e",10,546880.0,"Designer",54688.0,0,10,0
"plan3456","2af2195ac0",2,287928.0,"Project Manager",143964.0,0,2,0
"plan3455","697fc1e79e",0,0.0,"Administrative Officer",114517.0,0,0,0
"plan3453","b782b66c26",0,0.0,"Analyst",117786.0,0,0,0
"plan3452","ccc9c5af85",0,0.0,"Designer",117039.0,0,0,0
"plan3451","89c51a6eea",0,0.0,"HR Manager",124505.0,0,0,0
"plan3450","cc807d6852",0,0.0,"Project Manager",138398.0,0,0,0
"plan3448","a9e6c43716",2,196918.0,"Accountant",98459.0,0,2,0
"plan3447","bc66f0154e",4,562660.0,"Engineer",140665.0,0,4,0
"plan3446","966837562c",0,0.0,"Associate",60261.0,0,0,0
"plan3445","2c44dd49fc",0,0.0,"Business Development Manager",73445.0,0,0,0
"plan3444","9d34f3f26e",0,0.0,"Project Manager",87357.0,0,0,0
"plan3441","9eed80d056",0,0.0,"HR Manager",142946.0,0,0,0
"plan3440","39793fc6a7",0,0.0,"Designer",62258.0,0,0,0
"plan3437","4d405bd5db",0,0.0,"Researcher",147838.0,0,0,0
"plan3436","371f3305aa",0,0.0,"Associate",66760.0,0,0,0
"plan3434","30e2f08738",0,0.0,"Designer",75398.0,0,0,0
"plan3431","1eb1ca02d3",0,0.0,"Software Developer",121591.0,0,0,0
"plan3430","203adc662a",0,0.0,"Head of Marketing and Sales",106022.0,0,0,0
"plan3428","e6d2fcdcaa",2,115042.0,"Analyst",57521.0,0,2,0
"plan3432","ef1ac326bd",6,614394.0,"Software Developer",102399.0,0,6,0
"plan3429","74173ea2f2",0,0.0,"Engineer",145395.0,0,0,0
"plan3424","f05bf0c744",4,578328.0,"Researcher",144582.0,0,4,0
"plan3423","b028084bf1",7,919422.0,"Project Manager",131346.0,0,7,0
"plan3422","3cf335e170",0,0.0,"HR Manager",116579.0,0,0,0
"plan3421","641dce68e1",0,0.0,"Accountant",103712.0,0,0,0
"plan3417","249f729385",0,0.0,"HR Manager",59968.0,0,0,0
"plan3416","3112213d34",0,0.0,"Researcher",147041.0,0,0,0
"plan3415","5dfeb42a72",0,0.0,"Project Manager",135538.0,0,0,0
"plan3414","0aeefe4854",0,0.0,"Analyst",141904.0,0,0,0
"plan3411","1337589a58",0,0.0,"Business Development Manager",123787.0,0,0,0
"plan3409","cb4c45a0a3",0,0.0,"Engineer",122916.0,0,0,0
"plan3405","92e051f4f2",0,0.0,"Administrative Officer",63914.0,0,0,0
"plan3402","9e8aefbc62",4,226212.0,"Associate",56553.0,0,4,0
"plan3401","db912b0ef6",0,0.0,"Software Developer",139385.0,0,0,0
"plan3400","95c5fc59c9",0,0.0,"Business Development Manager",91606.0,0,0,0
"plan3399","b97d6804f2",0,0.0,"Researcher",146326.0,0,0,0
"plan3398","bef79c7313",9,719667.0,"Secretary",79963.0,0,9,0
"plan3396","a210af9152",0,0.0,"Project Manager",137881.0,0,0,0
"plan3392","dbfa461fcc",0,0.0,"Project Manager",58050.0,0,0,0
"plan3391","e654d07da5",0,0.0,"Administrative Officer",52718.0,0,0,0
"plan3388","0619f798ad",0,0.0,"Project Manager",88347.0,0,0,0
"plan3387","072c385255",0,0.0,"Head of Marketing and Sales",138988.0,0,0,0
"plan3386","50d92c8dfc",0,0.0,"Accountant",109618.0,0,0,0
"plan3384","610d3ad52e",0,0.0,"Analyst",61584.0,0,0,0
"plan3382","99e5726810",11,1555444.0,"Engineer",141404.0,0,11,0
"plan3381","11d0867f52",4,564684.0,"Engineer",141171.0,0,4,0
"plan3380","7c58c54103",0,0.0,"Engineer",61645.0,0,0,0
"plan3379","2a90dbae15",0,0.0,"Secretary",57693.0,0,0,0
"plan3378","295ba77e83",0,0.0,"Analyst",138015.0,0,0,0
"plan3377","05dce6265f",0,0.0,"Secretary",125456.0,0,0,0
"plan3376","5607721fb0",3,215268.0,"Software Developer",71756.0,0,3,0
"plan3374","3613ec3324",8,992648.0,"Project Manager",124081.0,0,8,0
"plan3373","61c3e48357",0,0.0,"Accountant",58881.0,0,0,0
"plan3372","163538c637",0,0.0,"Designer",59120.0,0,0,0
"plan3371","8c296abf66",0,0.0,"Business Development Manager",83545.0,0,0,0
"plan3370","66b35a039e",2,169124.0,"Designer",84562.0,0,2,0
"plan3368","e0c63690c0",0,0.0,"Secretary",133320.0,0,0,0
"plan3365","ea6e644c76",0,0.0,"Researcher",135092.0,0,0,0
"plan3364","9655130d66",8,856536.0,"Designer",107067.0,0,8,0
"plan3360","efc9db4840",0,0.0,"Designer",123408.0,0,0,0
"plan3358","412d1b407b",0,0.0,"Software Developer",130438.0,0,0,0
"plan3357","caa9dd6c02",11,864523.0,"Software Developer",78593.0,0,11,0
"plan3356","d8620575fe",0,0.0,"Project Manager",71975.0,0,0,0
"plan3355","7379a21992",0,0.0,"Business Development Manager",102518.0,0,0,0
"plan3352","7b1a6cc12b",0,0.0,"Software Developer",116730.0,0,0,0
"plan3349","eed3f10bd8",0,0.0,"Associate",83130.0,0,0,0
"plan3347","6c4171b2fc",4,497232.0,"Project Manager",124308.0,0,4,0
"plan3346","e2ded0027d",0,0.0,"Associate",131517.0,0,0,0
"plan3345","63c807db49",0,0.0,"Project Manager",143398.0,0,0,0
"plan3344","d4753ee355",0,0.0,"Head of Marketing and Sales",142652.0,0,0,0
"plan3343","d05d1875f2",0,0.0,"HR Manager",146022.0,0,0,0
"plan3342","e9e9f80e47",4,365292.0,"Accountant",91323.0,0,4,0
"plan3339","bf316fd95a",0,0.0,"Software Developer",139061.0,0,0,0
"plan3338","2bd3f6a920",0,0.0,"Software Developer",52287.0,0,0,0
"plan3337","1fe80aba8c",0,0.0,"Designer",142864.0,0,0,0
"plan3336","408423e20e",10,1430820.0,"Researcher",143082.0,0,10,0
"plan3334","d46f4d2790",0,0.0,"Researcher",55552.0,0,0,0
"plan3332","f295b6971a",0,0.0,"Head of Marketing and Sales",69636.0,0,0,0
"plan3330","f7fd9d9447",6,540378.0,"Head of Marketing and Sales",90063.0,0,6,0
"plan3327","403143fc73",0,0.0,"Associate",112510.0,0,0,0
"plan3326","27471ebc57",10,626170.0,"Analyst",62617.0,0,10,0
"plan3325","1c2ed2b8e0",0,0.0,"Software Developer",135879.0,0,0,0
"plan3324","4cceee1ff4",0,0.0,"HR Manager",143470.0,0,0,0
"plan3323","4231741142",4,538824.0,"Accountant",134706.0,0,4,0
"plan3322","bb8361e0b1",10,627820.0,"Project Manager",62782.0,0,10,0
"plan3319","c26fb03635",0,0.0,"Project Manager",65670.0,0,0,0
"plan3318","dead477602",0,0.0,"Project Manager",131746.0,0,0,0
"plan3317","6d5bb66f36",0,0.0,"Engineer",114711.0,0,0,0
"plan3316","de88830125",0,0.0,"Business Development Manager",67896.0,0,0,0
"plan3315","3cf8aad251",0,0.0,"Administrative Officer",68235.0,0,0,0
"plan3314","37dcf74ff3",0,0.0,"Designer",139011.0,0,0,0
"plan3313","021d4559aa",0,0.0,"Software Developer",57254.0,0,0,0
"plan3312","66ea6d0f65",0,0.0,"Associate",73322.0,0,0,0
"plan3307","45133d7571",0,0.0,"Head of Marketing and Sales",112833.0,0,0,0
"plan3306","a86dee2347",0,0.0,"Software Developer",52000.0,0,0,0
"plan3305","40b68ed930",0,0.0,"Engineer",142754.0,0,0,0
"plan3304","17c83507d5",0,0.0,"Head of Marketing and Sales",118909.0,0,0,0
"plan3303","6c6b64b989",3,379077.0,"Accountant",126359.0,0,3,0
"plan3300","8102893ecd",0,0.0,"Secretary",147522.0,0,0,0
"plan3299","efc0daa3be",6,750750.0,"Accountant",125125.0,0,6,0
"plan3297","97ca48d27a",2,182464.0,"Secretary",91232.0,0,2,0
"plan3296","a4b6c7661d",0,0.0,"Secretary",88001.0,0,0,0
"plan3295","5e58cb9d76",0,0.0,"Administrative Officer",96551.0,0,0,0
"plan3292","9782419ec9",0,0.0,"Designer",61897.0,0,0,0
"plan3289","3921e40190",10,517280.0,"Associate",51728.0,0,10,0
"plan3287","9a4dae75f4",3,392832.0,"Business Development Manager",130944.0,0,3,0
"plan3285","83933d2d01",4,523308.0,"Accountant",130827.0,0,4,0
"plan3283","db9416df79",3,304890.0,"Head of Marketing and Sales",101630.0,0,3,0
"plan3282","b76f9bc5a7",0,0.0,"Analyst",60926.0,0,0,0
"plan3280","e5d915a06b",2,122290.0,"Associate",61145.0,0,2,0
"plan3279","3b059adbc3",11,655413.0,"Accountant",59583.0,0,11,0
"plan3278","dcd6838a41",3,259464.0,"Engineer",86488.0,0,3,0
"plan3277","dd0999a6fc",4,376088.0,"Administrative Officer",94022.0,0,4,0
"plan3276","8b7e24250e",4,251908.0,"Project Manager",62977.0,0,4,0
"plan3275","729098d615",0,0.0,"Head of Marketing and Sales",116194.0,0,0,0
"plan3273","ab5cf5af2f",8,747288.0,"Researcher",93411.0,0,8,0
"plan3272","8ba94be0fc",3,268857.0,"Associate",89619.0,0,3,0
"plan3271","0de3bfda25",0,0.0,"Head of Marketing and Sales",103618.0,0,0,0
"plan3270","2ea85f2d46",11,1078220.0,"Project Manager",98020.0,0,11,0
"plan3269","dc221cb17e",3,364461.0,"HR Manager",121487.0,0,3,0
"plan3268","4c45116552",0,0.0,"Associate",126715.0,0,0,0
"plan3267","1322980e80",3,169080.0,"Researcher",56360.0,0,3,0
"plan3265","4e2107f156",7,675794.0,"Secretary",96542.0,0,7,0
"plan3264","a38f6ce2a2",0,0.0,"Secretary",83519.0,0,0,0
"plan3261","8da61cd41b",0,0.0,"HR Manager",58473.0,0,0,0
"plan3260","d5c98e5bdb",3,157872.0,"Designer",52624.0,0,3,0
"plan3258","f7cea9d558",0,0.0,"Accountant",92268.0,0,0,0
"plan3256","7e18704281",5,739160.0,"Project Manager",147832.0,0,5,0
"plan3255","18ba67eaeb",0,0.0,"Business Development Manager",143944.0,0,0,0
"plan3254","b78542be9b",0,0.0,"Project Manager",64221.0,0,0,0
"plan3253","3daec407b5",2,164354.0,"Business Development Manager",82177.0,0,2,0
"plan3251","2cea21523b",0,0.0,"HR Manager",118039.0,0,0,0
"plan3250","e193d600cf",0,0.0,"Analyst",146816.0,0,0,0
"plan3248","de44900263",0,0.0,"Designer",146832.0,0,0,0
"plan3247","7902dc68d8",8,1124936.0,"Business Development Manager",140617.0,0,8,0
"plan3246","7aa73626e2",9,982494.0,"Business Development Manager",109166.0,0,9,0
"plan3244","3fc4913342",0,0.0,"Associate",103645.0,0,0,0
"plan3243","b7a954ba4c",0,0.0,"Accountant",78828.0,0,0,0
"plan3241","dc30489a75",5,289490.0,"Analyst",57898.0,0,5,0
"plan3240","6b52c138b3",4,568340.0,"Researcher",142085.0,0,4,0
"plan3239","e397d66acc",9,688428.0,"Associate",76492.0,0,9,0
"plan3238","1ac52a28c2",9,1117899.0,"Researcher",124211.0,0,9,0
"plan3237","3d677436f4",2,169418.0,"Engineer",84709.0,0,2,0
"plan3236","68f8fc4e5e",6,656310.0,"Designer",109385.0,0,6,0
"plan3235","cda8339100",10,973910.0,"HR Manager",97391.0,0,10,0
"plan3234","723ad87174",0,0.0,"Analyst",90916.0,0,0,0
"plan3233","4646590c32",4,584192.0,"Project Manager",146048.0,0,4,0
"plan3232","599fb3abc5",4,397264.0,"Software Developer",99316.0,0,4,0
"plan3230","450f642ec6",9,902133.0,"HR Manager",100237.0,0,9,0
"plan3228","3de116c2bb",3,276294.0,"Designer",92098.0,0,3,0
"plan3227","5a07ec6bb6",0,0.0,"Accountant",142819.0,0,0,0
"plan3226","89d0d63873",0,0.0,"Business Development Manager",113997.0,0,0,0
"plan3224","d89c3f50cd",0,0.0,"Project Manager",112222.0,0,0,0
"plan3222","7f7c4b6d3e",0,0.0,"Associate",123426.0,0,0,0
"plan3221","e0bdf83ee2",4,386132.0,"Secretary",96533.0,0,4,0
"plan3219","94ff00a1dd",0,0.0,"HR Manager",58625.0,0,0,0
"plan3217","1519a72983",0,0.0,"Secretary",117513.0,0,0,0
"plan3215","240dcf9715",11,888305.0,"Designer",80755.0,0,11,0
"plan3214","f485114b74",2,176822.0,"Accountant",88411.0,0,2,0
"plan3213","abb6aa4aef",10,824880.0,"Researcher",82488.0,0,10,0
"plan3212","9f68e2ba9d",9,754965.0,"Head of Marketing and Sales",83885.0,0,9,0
"plan3211","cb4b11ada4",8,1008696.0,"Head of Marketing and Sales",126087.0,0,8,0
"plan3210","4f0b174dff",7,584143.0,"Associate",83449.0,0,7,0
"plan3209","47eed80b29",11,648351.0,"Head of Marketing and Sales",58941.0,0,11,0
"plan3208","06b712188e",3,362910.0,"Administrative Officer",120970.0,0,3,0
"plan3207","9e6f06be8d",3,230184.0,"Project Manager",76728.0,0,3,0
"plan3206","9078ae8741",4,534192.0,"Analyst",133548.0,0,4,0
"plan3205","3f07097808",5,552010.0,"Software Developer",110402.0,0,5,0
"plan3204","aa3ff47859",10,1369820.0,"Software Developer",136982.0,0,10,0
"plan3203","d163abb608",6,359214.0,"Analyst",59869.0,0,6,0
"plan3202","e5fafe38a8",0,0.0,"Head of Marketing and Sales",50743.0,0,0,0
"plan3201","6bc7cbe90a",5,643550.0,"Analyst",128710.0,0,5,0
"plan3199","d91e5e48e7",11,1484076.0,"Engineer",134916.0,0,11,0
"plan3198","98af9f16ee",0,0.0,"Administrative Officer",73352.0,0,0,0
"plan3197","225debcc23",0,0.0,"Head of Marketing and Sales",125620.0,0,0,0
"plan3196","1b07f9dd26",8,491208.0,"Researcher",61401.0,0,8,0
"plan3195","2c2fe1f239",0,0.0,"Administrative Officer",94737.0,0,0,0
"plan3194","7699a45a35",0,0.0,"Head of Marketing and Sales",63776.0,0,0,0
"plan3193","2cd75eda9e",2,175554.0,"Project Manager",87777.0,0,2,0
"plan3189","e7bcbc1758",9,1338750.0,"Secretary",148750.0,0,9,0
"plan3188","bb32c02f02",3,405210.0,"Researcher",135070.0,0,3,0
"plan3186","7bf15dbc1b",0,0.0,"Administrative Officer",110690.0,0,0,0
"plan3185","f8efc5f2b6",0,0.0,"Associate",55603.0,0,0,0
"plan3183","ddc6f105b6",9,1155042.0,"Secretary",128338.0,0,9,0
"plan3182","18c970c7d5",7,968289.0,"Accountant",138327.0,0,7,0
"plan3181","c8d4aeeddb",11,1250810.0,"Head of Marketing and Sales",113710.0,0,11,0
"plan3179","015ceafc5f",6,645276.0,"Engineer",107546.0,0,6,0
"plan3178","4a7a70d8de",0,0.0,"Head of Marketing and Sales",65110.0,0,0,0
"plan3176","7f1d92288e",3,151173.0,"Designer",50391.0,0,3,0
"plan3175","0205d64249",5,370510.0,"Project Manager",74102.0,0,5,0
"plan3174","e4d9bfcdcc",0,0.0,"Associate",144372.0,0,0,0
"plan3173","e81adfa14b",0,0.0,"Associate",112488.0,0,0,0
"plan3171","fe3c99bbc3",10,610020.0,"Associate",61002.0,0,10,0
"plan3170","bcc097622e",8,866152.0,"Analyst",108269.0,0,8,0
"plan3169","f238859cca",4,278320.0,"Administrative Officer",69580.0,0,4,0
"plan3168","d9af3d2095",0,0.0,"Analyst",97671.0,0,0,0
"plan3167","1cef9af0fb",0,0.0,"Associate",136442.0,0,0,0
"plan3165","725eb541d6",11,1636184.0,"Administrative Officer",148744.0,0,11,0
"plan3164","c4168054e9",0,0.0,"Software Developer",79902.0,0,0,0
"plan3163","e287f9bcc6",8,1035408.0,"Project Manager",129426.0,0,8,0
"plan3162","b3884f0106",6,815406.0,"Researcher",135901.0,0,6,0
"plan3161","04fbd8aa83",11,1412686.0,"Researcher",128426.0,0,11,0
"plan3160","fa631323aa",0,0.0,"Software Developer",117348.0,0,0,0
"plan3159","8329ecf140",10,1111240.0,"Researcher",111124.0,0,10,0
"plan3157","8f982b6b60",0,0.0,"Administrative Officer",135302.0,0,0,0
"plan3156","bfde31fd5c",10,1169190.0,"HR Manager",116919.0,0,10,0
"plan3155","2c04715f7b",11,706519.0,"Secretary",64229.0,0,11,0
"plan3154","a87c6f8618",11,1384999.0,"Project Manager",125909.0,0,11,0
"plan3153","7056226ec9",0,0.0,"HR Manager",112044.0,0,0,0
"plan3152","045fc9e77f",0,0.0,"Researcher",108783.0,0,0,0
"plan3150","e5fbeae94f",4,544628.0,"Software Developer",136157.0,0,4,0
"plan3149","44f05b2ada",4,391292.0,"Engineer",97823.0,0,4,0
"plan3147","ea0a0a3c2f",6,877782.0,"Analyst",146297.0,0,6,0
"plan3146","2e2ce6c211",10,823880.0,"Administrative Officer",82388.0,0,10,0
"plan3145","0c546aad89",4,503312.0,"Researcher",125828.0,0,4,0
"plan3144","f6f24949da",2,218962.0,"Business Development Manager",109481.0,0,2,0
"plan3143","db6a563838",5,698750.0,"Software Developer",139750.0,0,5,0
"plan3142","7f512e5d34",4,259992.0,"Software Developer",64998.0,0,4,0
"plan3141","8089a3d76d",3,324564.0,"Head of Marketing and Sales",108188.0,0,3,0
"plan3140","e1bc179fd0",0,0.0,"Administrative Officer",145545.0,0,0,0
"plan3138","e975533031",0,0.0,"Designer",127261.0,0,0,0
"plan3137","838f118298",0,0.0,"Secretary",98828.0,0,0,0
"plan3135","0f13707045",0,0.0,"Analyst",64498.0,0,0,0
"plan3133","142cb5d5a7",0,0.0,"Project Manager",145972.0,0,0,0
"plan3132","689479e514",0,0.0,"Designer",146201.0,0,0,0
"plan3131","267cd29343",0,0.0,"Researcher",105582.0,0,0,0
"plan3130","85bd9bac41",0,0.0,"Accountant",52415.0,0,0,0
"plan3129","b13828c0d1",11,786104.0,"Associate",71464.0,0,11,0
"plan3128","c5f5a9a21e",0,0.0,"Researcher",126084.0,0,0,0
"plan3127","f5e8027b72",10,1350600.0,"Head of Marketing and Sales",135060.0,0,10,0
"plan3126","c10211963f",9,662958.0,"HR Manager",73662.0,0,9,0
"plan3125","9e311caaae",0,0.0,"Software Developer",147251.0,0,0,0
"plan3124","8f66e34def",6,818178.0,"Software Developer",136363.0,0,6,0
"plan3123","0ed59e2270",0,0.0,"Head of Marketing and Sales",76195.0,0,0,0
"plan3122","1a302fa387",0,0.0,"Head of Marketing and Sales",85692.0,0,0,0
"plan3121","8faf6086d1",0,0.0,"Secretary",65553.0,0,0,0
"plan3120","749ee149ad",0,0.0,"Associate",62373.0,0,0,0
"plan3119","c22d04898a",0,0.0,"Accountant",102112.0,0,0,0
"plan3118","6c80bb83c6",11,0.0,"Head of Marketing and Sales",0.0,0,11,0
"plan3117","67b3fe9122",11,1296405.0,"Administrative Officer",117855.0,0,11,0
"plan3116","89005a75cb",0,0.0,"Secretary",109542.0,0,0,0
"plan3115","a7d7dc031c",0,0.0,"Engineer",84390.0,0,0,0
"plan3114","450cb5084c",0,0.0,"Accountant",53949.0,0,0,0
"plan3113","7ee89b1129",0,0.0,"Accountant",121938.0,0,0,0
"plan3112","1dfd1f9a77",0,0.0,"Project Manager",144832.0,0,0,0
"plan3111","82f4ba3d27",0,0.0,"Business Development Manager",57064.0,0,0,0
"plan3110","5e072c0b5b",0,0.0,"Analyst",123627.0,0,0,0
"plan3109","816d2a9b04",0,0.0,"HR Manager",89908.0,0,0,0
"plan3108","1bb49fef04",0,0.0,"Administrative Officer",57447.0,0,0,0
"plan3107","bb452ae320",0,0.0,"Business Development Manager",91885.0,0,0,0
"plan3106","6c6b3c32b6",4,357292.0,"Administrative Officer",89323.0,0,4,0
"plan3105","625cb4ad9b",0,0.0,"Associate",50102.0,0,0,0
"plan3104","00e0bac5cf",7,688688.0,"Secretary",98384.0,0,7,0
"plan3103","3f384d623d",0,0.0,"Head of Marketing and Sales",120204.0,0,0,0
"plan3102","30c246c9a2",0,0.0,"Analyst",114191.0,0,0,0
"plan3099","63fee34658",6,879966.0,"Researcher",146661.0,0,6,0
"plan3097","5a49121f23",2,273404.0,"Associate",136702.0,0,2,0
"plan3096","3c7a72a4b3",0,0.0,"Designer",76910.0,0,0,0
"plan3095","421500056e",0,0.0,"Accountant",55913.0,0,0,0
"plan3094","9235f53981",10,750160.0,"Project Manager",75016.0,0,10,0
"plan3091","01ae5a8cc2",0,0.0,"Software Developer",65013.0,0,0,0
"plan3089","bded982daf",0,0.0,"HR Manager",79888.0,0,0,0
"plan3086","1ccab08d15",5,489160.0,"Analyst",97832.0,0,5,0
"plan3084","fe5df08e09",0,0.0,"Analyst",67377.0,0,0,0
"plan3080","9b12f89166",0,0.0,"Business Development Manager",73534.0,0,0,0
"plan3078","6faad6b08a",4,564012.0,"Engineer",141003.0,0,4,0
"plan3077","d156f36d99",0,0.0,"Analyst",53401.0,0,0,0
"plan3076","6b6a0b60b8",6,859632.0,"Engineer",143272.0,0,6,0
"plan3074","81e47d9bfc",9,1293867.0,"HR Manager",143763.0,0,9,0
"plan3072","eae8e64e30",6,457602.0,"Business Development Manager",76267.0,0,6,0
"plan3070","a3e274e70f",9,1229319.0,"Project Manager",136591.0,0,9,0
"plan3069","eef500f943",0,0.0,"Accountant",62591.0,0,0,0
"plan3066","1809abf649",4,590384.0,"Secretary",147596.0,0,4,0
"plan3065","ce2efa94d3",0,0.0,"Administrative Officer",91241.0,0,0,0
"plan3063","da4cf19446",4,404496.0,"Administrative Officer",101124.0,0,4,0
"plan3062","2cf85c2745",8,697248.0,"Analyst",87156.0,0,8,0
"plan3061","aa3d3349ba",0,0.0,"Engineer",119047.0,0,0,0
"plan3060","21b079c66d",3,288957.0,"Accountant",96319.0,0,3,0
"plan3057","0da25b07b0",0,0.0,"Secretary",111415.0,0,0,0
"plan3054","d3017b62be",11,716265.0,"Associate",65115.0,0,11,0
"plan3053","53e52a5067",0,0.0,"Secretary",100783.0,0,0,0
"plan3052","8996de0a5a",2,263502.0,"Business Development Manager",131751.0,0,2,0
"plan3051","a0664f96d7",3,306363.0,"Designer",102121.0,0,3,0
"plan3049","52181eb5ea",0,0.0,"Researcher",76904.0,0,0,0
"plan3048","ff00253e7f",0,0.0,"Software Developer",85678.0,0,0,0
"plan3047","acb9fa9bd5",0,0.0,"Designer",76569.0,0,0,0
"plan3045","ad2a23472f",9,575235.0,"Associate",63915.0,0,9,0
"plan3044","b2e1694aa4",0,0.0,"Secretary",146361.0,0,0,0
"plan3043","46fa8c7530",10,570140.0,"Software Developer",57014.0,0,10,0
"plan3042","da00e57a78",6,328098.0,"Software Developer",54683.0,0,6,0
"plan3041","df53183fb8",10,609530.0,"HR Manager",60953.0,0,10,0
"plan3035","3c0e29fb7b",5,471390.0,"Associate",94278.0,0,5,0
"plan3033","2b646e8b83",9,1320057.0,"Administrative Officer",146673.0,0,9,0
"plan3032","7539921a74",0,0.0,"Accountant",112279.0,0,0,0
"plan3029","b9948d2a05",5,264330.0,"Accountant",52866.0,0,5,0
"plan3027","12b96ffb36",0,0.0,"Researcher",86299.0,0,0,0
"plan3026","292aa23546",11,1293831.0,"Secretary",117621.0,0,11,0
"plan3025","a29fd51a99",8,774008.0,"Engineer",96751.0,0,8,0
"plan3023","d3a7083ee6",0,0.0,"Accountant",56015.0,0,0,0
